id,api_path,raw_target,pre_audit_label,campaign_status,proof_object,body_fidelity,proof_admissibility,strict_verdict,proof_bundle,contains_unrelated_target,trust_level,resolved_source_path,resolved_source_lines,reason
std_specs__cmp.rs__L332__f64__as__PartialOrd__f64__lt,core::cmp::PartialOrd::lt,<f64 as PartialOrd<f64>>::lt,unverified,proved,local_surrogate,circular_or_target_axiom,circular_or_target_axiom,known_mismatch_or_inadmissible,,False,D,,,A floating-point coherence axiom directly connects peer-call results to the target opaque relation.
std_specs__cmp.rs__L337__f64__as__PartialOrd__f64__le,core::cmp::PartialOrd::le,<f64 as PartialOrd<f64>>::le,unverified,proved,local_surrogate,circular_or_target_axiom,circular_or_target_axiom,known_mismatch_or_inadmissible,,False,D,,,A floating-point coherence axiom directly connects peer-call results to the target opaque relation.
std_specs__cmp.rs__L342__f64__as__PartialOrd__f64__gt,core::cmp::PartialOrd::gt,<f64 as PartialOrd<f64>>::gt,unverified,proved,local_surrogate,circular_or_target_axiom,circular_or_target_axiom,known_mismatch_or_inadmissible,,False,D,,,A floating-point coherence axiom directly connects peer-call results to the target opaque relation.
std_specs__cmp.rs__L347__f64__as__PartialOrd__f64__ge,core::cmp::PartialOrd::ge,<f64 as PartialOrd<f64>>::ge,unverified,proved,local_surrogate,circular_or_target_axiom,circular_or_target_axiom,known_mismatch_or_inadmissible,,False,D,,,A floating-point coherence axiom directly connects peer-call results to the target opaque relation.
std_specs__cmp.rs__L367__a__A__as__PartialEq__B__eq,core::cmp::PartialEq::eq,<&'a A as PartialEq<&B>>::eq,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/cmp.rs,2117-2124,"The concrete reference PartialEq::eq body is `PartialEq::eq(*self, *other)`, exactly the executable source_* body after receiver/argument renaming. It calls only the underlying A::eq implementation and is acyclic."
std_specs__cmp.rs__L375__a__A__as__PartialEq__B__ne,core::cmp::PartialEq::ne,<&'a A as PartialEq<&B>>::ne,unverified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,,,"Executable operations/control flow match the Rust source; differences are receiver/local renaming, qualification, or Verus-only annotations and ghost code."
std_specs__cmp.rs__L396__a__A__as__PartialOrd__B__partial_cmp,core::cmp::PartialOrd::partial_cmp,<&'a A as PartialOrd<&B>>::partial_cmp,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/cmp.rs,2132-2139,"The concrete reference PartialOrd::partial_cmp body is `PartialOrd::partial_cmp(*self, *other)`, exactly the source_* executable body after receiver renaming. The dependency is solely on the underlying A::partial_cmp and is acyclic."
std_specs__cmp.rs__L404__a__A__as__PartialOrd__B__lt,core::cmp::PartialOrd::lt,<&'a A as PartialOrd<&B>>::lt,unverified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,,,is_some_and is mechanically expanded to an equivalent Option match with the same peer calls.
std_specs__cmp.rs__L412__a__A__as__PartialOrd__B__le,core::cmp::PartialOrd::le,<&'a A as PartialOrd<&B>>::le,unverified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,,,is_some_and is mechanically expanded to an equivalent Option match with the same peer calls.
std_specs__cmp.rs__L420__a__A__as__PartialOrd__B__gt,core::cmp::PartialOrd::gt,<&'a A as PartialOrd<&B>>::gt,unverified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,,,is_some_and is mechanically expanded to an equivalent Option match with the same peer calls.
std_specs__cmp.rs__L428__a__A__as__PartialOrd__B__ge,core::cmp::PartialOrd::ge,<&'a A as PartialOrd<&B>>::ge,unverified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,,,is_some_and is mechanically expanded to an equivalent Option match with the same peer calls.
std_specs__cmp.rs__L446__a__A__as__Ord__cmp,core::cmp::Ord::cmp,<&'a A as Ord>::cmp,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/cmp.rs,2175-2182,"The concrete reference Ord::cmp body is `Ord::cmp(*self, *other)`, exactly the source_* executable body after receiver renaming. It is an ordinary one-way call to the underlying A::cmp."
std_specs__collections_extra.rs__L46__BinaryHeap__T__new,alloc::collections::BinaryHeap::new,BinaryHeap::<T>::new,unverified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,B,,,Private collection fields/internal heap operations are replaced by public APIs or local algorithms.
std_specs__collections_extra.rs__L51__BinaryHeap__T__A__len,alloc::collections::BinaryHeap::len,"BinaryHeap::<T, A>::len",unverified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,B,,,Private collection fields/internal heap operations are replaced by public APIs or local algorithms.
std_specs__collections_extra.rs__L58__BinaryHeap__T__A__is_empty,alloc::collections::BinaryHeap::is_empty,"BinaryHeap::<T, A>::is_empty",verified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,collections.rs,True,B,,,Both bodies compute len() == 0; only self-to-argument conversion and proof contracts were added.
std_specs__collections_extra.rs__L65__BinaryHeap__T__A__clear,alloc::collections::BinaryHeap::clear,"BinaryHeap::<T, A>::clear",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,Drain has private representation and requires forbidden external_body modeling; copying drain deeper also requires private BinaryHeap fields. Any axiom would merely restate the target behavior.
std_specs__collections_extra.rs__L70__BinaryHeap__T__A__push,alloc::collections::BinaryHeap::push,"BinaryHeap::<T, A>::push",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,Downstream Verus cannot copy these private operations. Any bridge strong enough to prove the multiset update would effectively restate the target contract as an axiom.
std_specs__collections_extra.rs__L78__BinaryHeap__T__A__append,alloc::collections::BinaryHeap::append,"BinaryHeap::<T, A>::append",unverified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,C,,,Private collection fields/internal heap operations are replaced by public APIs or local algorithms.
std_specs__collections_extra.rs__L87__BinaryHeap__T__A__pop,alloc::collections::BinaryHeap::pop,"BinaryHeap::<T, A>::pop",unverified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,C,,,Private collection fields/internal heap operations are replaced by public APIs or local algorithms.
std_specs__collections_extra.rs__L103__BinaryHeap__T__A__peek,alloc::collections::BinaryHeap::peek,"BinaryHeap::<T, A>::peek",unverified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,B,,,Private collection fields/internal heap operations are replaced by public APIs or local algorithms.
std_specs__collections_extra.rs__L111__BinaryHeap__T__A__as_slice,alloc::collections::BinaryHeap::as_slice,"BinaryHeap::<T, A>::as_slice",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,Downstream Verus cannot access self.data. Any bridge relating another public projection to heap@ would effectively restate the target contract as an axiom.
std_specs__collections_extra.rs__L118__BinaryHeap__T__A__into_vec,alloc::collections::BinaryHeap::into_vec,"BinaryHeap::<T, A>::into_vec",unverified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,,,"Executable operations/control flow match the Rust source; differences are receiver/local renaming, qualification, or Verus-only annotations and ghost code."
std_specs__collections_extra.rs__L125__BinaryHeap__T__A__into_sorted_vec,alloc::collections::BinaryHeap::into_sorted_vec,"BinaryHeap::<T, A>::into_sorted_vec",unverified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,B,,,Private collection fields/internal heap operations are replaced by public APIs or local algorithms.
std_specs__collections_extra.rs__L132__LinkedList__T__new,alloc::collections::LinkedList::new,LinkedList::<T>::new,unverified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,B,,,Private collection fields/internal heap operations are replaced by public APIs or local algorithms.
std_specs__collections_extra.rs__L137__LinkedList__T__A__len,alloc::collections::LinkedList::len,"LinkedList::<T, A>::len",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,LinkedList::len cannot be copied outside alloc. The iterator alternative requires a forbidden external_body model; any direct view-length bridge would restate the target contract.
std_specs__collections_extra.rs__L144__LinkedList__T__A__is_empty,alloc::collections::LinkedList::is_empty,"LinkedList::<T, A>::is_empty",unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,collections.rs,True,B,,,Source tests the private field self.head.is_none(); surrogate replaces it with list.len() == 0.
std_specs__collections_extra.rs__L151__LinkedList__T__A__contains,alloc::collections::LinkedList::contains,"LinkedList::<T, A>::contains",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"vstd exposes no LinkedList iterator/view bridge, and downstream Verus cannot establish one through the private node representation. Adding the needed assumption would hide the central obligation."
std_specs__collections_extra.rs__L161__LinkedList__T__A__clear,alloc::collections::LinkedList::clear,"LinkedList::<T, A>::clear",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"A faithful proof requires private head, tail, len, allocator, and node representation. Public pop operations change control flow and panic behavior; a sufficient representation bridge would merely restate the target contract."
std_specs__collections_extra.rs__L166__LinkedList__T__A__push_front,alloc::collections::LinkedList::push_front,"LinkedList::<T, A>::push_front",verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,,,"Executable operations/control flow match the Rust source; differences are receiver/local renaming, qualification, or Verus-only annotations and ghost code."
std_specs__collections_extra.rs__L174__LinkedList__T__A__push_back,alloc::collections::LinkedList::push_back,"LinkedList::<T, A>::push_back",verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,,,"Executable operations/control flow match the Rust source; differences are receiver/local renaming, qualification, or Verus-only annotations and ghost code."
std_specs__collections_extra.rs__L182__LinkedList__T__A__pop_front,alloc::collections::LinkedList::pop_front,"LinkedList::<T, A>::pop_front",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,Any axiom exposing the helper’s view update and returned element would merely restate the target contract.
std_specs__collections_extra.rs__L191__LinkedList__T__A__pop_back,alloc::collections::LinkedList::pop_back,"LinkedList::<T, A>::pop_back",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"Downstream Verus cannot access pop_back_node, Node::into_element, or the private list representation. Public substitutes change the source control flow; a sufficient axiom would merely restate the target contract."
std_specs__collections_extra.rs__L200__LinkedList__T__A__front,alloc::collections::LinkedList::front,"LinkedList::<T, A>::front",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,Replacing the private traversal with iter().next() changes the source implementation and lacks a vstd iterator/view bridge. Any sufficient representation axiom would merely restate the target contract.
std_specs__collections_extra.rs__L208__LinkedList__T__A__back,alloc::collections::LinkedList::back,"LinkedList::<T, A>::back",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,Replacing it with iter().next_back() changes the source implementation and lacks a vstd iterator/view bridge. Any sufficient representation axiom would merely restate the target contract.
std_specs__collections_extra.rs__L216__LinkedList__T__append,alloc::collections::LinkedList::append,LinkedList::<T>::append,unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,A faithful proof requires the private node representation and its ownership/view invariant. Public pop/push substitutes change the implementation’s control flow and complexity; a sufficient representation axiom would effectively restate the target contract.
std_specs__collections_extra.rs__L225__LinkedList__T__A__split_off,alloc::collections::LinkedList::split_off,"LinkedList::<T, A>::split_off",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"Downstream code cannot access self.alloc, IterMut::head/tail, or split_off_after_node. Modeling these with an axiom would restate the target contract."
std_specs__control_flow.rs__L18__Result__T__E__branch,core::fmt::Result::branch,"Result::<T, E>::branch",verified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,pure_control_flow.rs,True,A,,,"After resolving the rust-1.96 Result Try impl, source and surrogate have the identical Ok/Err match body."
std_specs__control_flow.rs__L30__Option__T__branch,core::option::Option::branch,Option::<T>::branch,verified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,pure_control_flow.rs,True,A,,,"After resolving the rust-1.96 Option Try impl, source and surrogate have the identical Some/None match body."
std_specs__control_flow.rs__L42__Option__T__from_residual,core::option::Option::from_residual,Option::<T>::from_residual,verified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,residual.rs,True,C,,,Reachable source behavior is the same None => None arm; surrogate only adds a verifier-required impossible Some(Infallible) proof arm.
std_specs__control_flow.rs__L50__ControlFlow__B__C__is_break,core::ops::ControlFlow::is_break,"ControlFlow::<B, C>::is_break",verified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,pure_control_flow.rs,True,A,,,Surrogate directly expands matches! into Break => true and Continue => false.
std_specs__control_flow.rs__L57__ControlFlow__B__C__is_continue,core::ops::ControlFlow::is_continue,"ControlFlow::<B, C>::is_continue",verified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,pure_control_flow.rs,True,A,,,Surrogate directly expands matches! into Continue => true and Break => false.
std_specs__control_flow.rs__L64__ControlFlow__B__C__break_value,core::ops::ControlFlow::break_value,"ControlFlow::<B, C>::break_value",verified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,pure_control_flow.rs,True,A,,,Executable match arms are identical apart from self-to-argument naming.
std_specs__control_flow.rs__L74__ControlFlow__B__C__continue_value,core::ops::ControlFlow::continue_value,"ControlFlow::<B, C>::continue_value",verified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,pure_control_flow.rs,True,A,,,Executable match arms are identical apart from self-to-argument naming.
std_specs__control_flow.rs__L84__ControlFlow__B__C__break_ok,core::ops::ControlFlow::break_ok,"ControlFlow::<B, C>::break_ok",verified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,pure_control_flow.rs,True,A,,,Executable match arms are identical apart from self-to-argument naming.
std_specs__control_flow.rs__L94__ControlFlow__B__C__continue_ok,core::ops::ControlFlow::continue_ok,"ControlFlow::<B, C>::continue_ok",verified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,pure_control_flow.rs,True,A,,,Executable match arms are identical apart from self-to-argument naming.
std_specs__control_flow.rs__L113__Result__T__F__from_residual,core::fmt::Result::from_residual,"Result::<T, F>::from_residual",verified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,residual.rs,True,C,,,Reachable source behavior is the same Err(e) => Err(From::from(e)); surrogate only adds an impossible Ok(Infallible) proof/loop arm.
std_specs__convert.rs__L48__T__as__Into__U__into,core::convert::Into::into,<T as Into<U>>::into,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/convert/mod.rs,769-782,The concrete blanket Into impl body is U::from(self); the surrogate is identical after receiver-to-argument renaming and proves the called From contract without a cycle or axiom.
std_specs__convert.rs__L101__T__as__TryInto__U__try_into,core::convert::TryInto::try_into,<T as TryInto<U>>::try_into,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/convert/mod.rs,813-823,The concrete blanket TryInto impl body is U::try_from(self); the surrogate is identical after receiver-to-argument renaming and uses only the called TryFrom contract.
std_specs__convert.rs__L109__T__as__TryFrom__U__try_from,core::convert::TryFrom::try_from,<T as TryFrom<U>>::try_from,unverified,proved,target_mapping_failure,ambiguous_mapping,ambiguous_mapping,known_mismatch_or_inadmissible,,True,B,,,The shared proof defines only source_try_into and contains no local function implementing the TryFrom target.
std_specs__core.rs__L132__core__mem__swap__T,core::mem::swap,core::mem::swap::<T>,unverified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,C,,,The source intrinsic/internal helper is replaced by a local surrogate implementation.
std_specs__core.rs__L165__core__intrinsics__likely,core::intrinsics::likely,core::intrinsics::likely,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/intrinsics/mod.rs,435-442,The surrogate reproduces the exact if/else body and the exact empty cold_path body (419); only Verus contracts/attributes are added. No target axiom or cycle is used.
std_specs__core.rs__L170__core__intrinsics__unlikely,core::intrinsics::unlikely,core::intrinsics::unlikely,verified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,A,,,The source intrinsic/internal helper is replaced by a local surrogate implementation.
std_specs__core.rs__L175__bool__then,core::bool::then,bool::then,unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,The contract omits `requires b ==> f.requires(())`. Adding it would strengthen the supplied contract; axiomatizing it would hide the obligation.
std_specs__default.rs__L46__Option__T__as__core__default__Default__default,core::default::Default::default,<Option<T> as core::default::Default>::default,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/option.rs,2300-2314,"Option<T>::default has the concrete body `None`. The source_* executable body is `None`; its extra proof assertion is proof-only, so fidelity is exact and the proof is acyclic."
std_specs__default.rs__L51__a__str__as__core__default__Default__default,core::default::Default::default,<&'a str as core::default::Default>::default,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/str/mod.rs,3236-3244,"Default for &str has the concrete body `""""`, exactly matching the source_* executable body. No axiom or peer target is used."
std_specs__default.rs__L56__core__marker__PhantomData__T__as__core__default__Default__default,core::default::Default::default,"<core::marker::PhantomData<
    T,
> as core::default::Default>::default",verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/marker.rs,857-863,"PhantomData<T>::default returns `Self`. The proof returns the explicitly spelled `PhantomData::<T>`, which is the mechanical expansion of Self in this impl; it is axiom-free and acyclic."
std_specs__default.rs__L63__U__T__as__core__default__Default__default,core::default::Default::default,"<(
    U,
    T,
) as core::default::Default>::default",verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/tuple.rs,"12-20,120-130,238","tuple_impls! recursively generates the tuple Default impl with body `($({ let x: T = Default::default(); x },)+)`. The two- or three-element source_* body is exactly that macro expansion, preserving element order and calls, with only proof contracts added and no cycle."
std_specs__default.rs__L72__V__U__T__as__core__default__Default__default,core::default::Default::default,"<(V, U, T) as core::default::Default>::default",verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/tuple.rs,"12-20,120-130,238","tuple_impls! recursively generates the tuple Default impl with body `($({ let x: T = Default::default(); x },)+)`. The two- or three-element source_* body is exactly that macro expansion, preserving element order and calls, with only proof contracts added and no cycle."
std_specs__default.rs__L76__V__U__T__as__core__default__Default__default,core::default::Default::default,"<(V, U, T) as core::default::Default>::default",verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/tuple.rs,"12-20,120-130,238","tuple_impls! recursively generates the tuple Default impl with body `($({ let x: T = Default::default(); x },)+)`. The two- or three-element source_* body is exactly that macro expansion, preserving element order and calls, with only proof contracts added and no cycle."
std_specs__duration.rs__L152__Duration__new,core::time::Duration::new,Duration::new,unverified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,B,,,"Private Duration fields or constructors are replaced by public getters, arithmetic, or alternate constructors."
std_specs__duration.rs__L159__Duration__from_secs,core::time::Duration::from_secs,Duration::from_secs,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,"Source directly constructs private Duration fields; surrogate calls the public Duration::new(secs, 0)."
std_specs__duration.rs__L164__Duration__from_millis,core::time::Duration::from_millis,Duration::from_millis,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,Source constructs Nanoseconds with new_unchecked and a private-field literal; surrogate replaces representation operations with Duration::new.
std_specs__duration.rs__L169__Duration__from_micros,core::time::Duration::from_micros,Duration::from_micros,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,Source constructs Nanoseconds with new_unchecked and a private-field literal; surrogate replaces representation operations with Duration::new.
std_specs__duration.rs__L174__Duration__from_nanos,core::time::Duration::from_nanos,Duration::from_nanos,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,Source constructs Nanoseconds with new_unchecked and a private-field literal; surrogate replaces representation operations with Duration::new.
std_specs__duration.rs__L179__Duration__from_nanos_u128,core::time::Duration::from_nanos_u128,Duration::from_nanos_u128,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,"Source performs checked u64 conversion with a panic branch and private-field construction; surrogate assumes the range, casts, and calls Duration::new."
std_specs__duration.rs__L186__Duration__from_hours,core::time::Duration::from_hours,Duration::from_hours,unverified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,C,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/time.rs,422-428,"The overflow test, panic branch, multiplication order, and Duration::from_secs call are preserved; panic! is mechanically represented by vpanic! plus a proof-only unreachable assertion. Duration::from_secs is a smaller acyclic std contract."
std_specs__duration.rs__L193__Duration__from_mins,core::time::Duration::from_mins,Duration::from_mins,unverified,preproved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,C,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/time.rs,450-456,"The overflow test, panic branch, multiplication, and Duration::from_secs call are preserved; panic! is mechanically represented by vpanic! plus a proof-only unreachable assertion. Duration::from_secs is a smaller acyclic std contract."
std_specs__duration.rs__L200__Duration__is_zero,core::time::Duration::is_zero,Duration::is_zero,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,Source reads private secs and nanos fields; surrogate replaces them with as_secs() and subsec_nanos() calls.
std_specs__duration.rs__L205__Duration__as_secs,core::time::Duration::as_secs,Duration::as_secs,unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"A source_duration_as_secs(&Duration) -> u64 function cannot satisfy the supplied constructor contract. Additionally, Duration::secs is private, so copying the actual body downstream would require a prohibited target-restating representation axiom."
std_specs__duration.rs__L210__Duration__as_secs_f32,core::time::Duration::as_secs_f32,Duration::as_secs_f32,unverified,preproved,local_surrogate,circular_or_target_axiom,circular_or_target_axiom,known_mismatch_or_inadmissible,duration_float.rs,True,D,,,Surrogate replaces private-field arithmetic with public accessors and uses RFC cast/add/div axioms to establish target float semantics.
std_specs__duration.rs__L215__Duration__as_secs_f64,core::time::Duration::as_secs_f64,Duration::as_secs_f64,unverified,preproved,local_surrogate,circular_or_target_axiom,circular_or_target_axiom,known_mismatch_or_inadmissible,duration_float.rs,True,D,,,Surrogate replaces private-field arithmetic with public accessors and uses RFC cast/add/div axioms to establish target float semantics.
std_specs__duration.rs__L220__Duration__subsec_millis,core::time::Duration::subsec_millis,Duration::subsec_millis,unverified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,B,,,"Private Duration fields or constructors are replaced by public getters, arithmetic, or alternate constructors."
std_specs__duration.rs__L225__Duration__subsec_micros,core::time::Duration::subsec_micros,Duration::subsec_micros,unverified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,B,,,"Private Duration fields or constructors are replaced by public getters, arithmetic, or alternate constructors."
std_specs__duration.rs__L230__Duration__subsec_nanos,core::time::Duration::subsec_nanos,Duration::subsec_nanos,unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"The contract is false for the copied body: Duration::new(0, 1) returns 1 from subsec_nanos, while the supplied RHS is 1 / 1_000_000 = 0. The private nanos field also prevents a downstream source-faithful copy without a target-restating axiom."
std_specs__duration.rs__L235__Duration__as_millis,core::time::Duration::as_millis,Duration::as_millis,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,Source performs arithmetic on private fields; surrogate replaces nanos-field arithmetic with subsec_millis().
std_specs__duration.rs__L240__Duration__as_micros,core::time::Duration::as_micros,Duration::as_micros,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,Source performs arithmetic on private fields; surrogate replaces nanos-field arithmetic with subsec_micros().
std_specs__duration.rs__L245__Duration__as_nanos,core::time::Duration::as_nanos,Duration::as_nanos,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,Source performs arithmetic on private fields; surrogate replaces field reads with as_secs() and subsec_nanos().
std_specs__duration.rs__L250__Duration__abs_diff,core::time::Duration::abs_diff,Duration::abs_diff,unverified,preproved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,C,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/time.rs,650-652,The checked_sub/else/reverse-checked_sub/unwrap executable body is exact. Duration::checked_sub and Option::unwrap are smaller acyclic std contracts; there is no target cycle or target-equivalent axiom.
std_specs__duration.rs__L259__Duration__checked_add,core::time::Duration::checked_add,Duration::checked_add,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,"Source adds seconds and nanoseconds component-wise with carry; surrogate converts to u128 total nanoseconds, adds, and reconstructs."
std_specs__duration.rs__L268__Duration__saturating_add,core::time::Duration::saturating_add,Duration::saturating_add,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,Source calls self.checked_add and returns Duration::MAX on failure; surrogate calls a local alternate checked-add and explicitly reconstructs MAX.
std_specs__duration.rs__L278__Duration__checked_sub,core::time::Duration::checked_sub,Duration::checked_sub,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,Source subtracts seconds and nanoseconds component-wise with borrow; surrogate compares and subtracts u128 total nanoseconds.
std_specs__duration.rs__L286__Duration__saturating_sub,core::time::Duration::saturating_sub,Duration::saturating_sub,unverified,preproved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,duration_integer.rs,True,C,,,Source calls self.checked_sub and returns Duration::ZERO; surrogate calls a local alternate checked-sub and reconstructs zero.
