canonical_target,display_path,origin_path,declaration_id,source_location,copied_source_path,original_source_path,kind,signature,generic_bounds,safety,stability,since,constness,abi,alias_approximate,has_approximate_alias,existing_vstd_status,existing_vstd_provenance,existing_vstd_exact_match_status,planned_spec_status,semantic_family,source_observable_inputs,source_observable_outputs,source_observable_mutations,required_shared_model_helper,decisive_validation_command,final_contract_or_justified_no_spec_status,counting_basis
alloc::vec::Vec::push,alloc::vec::Vec::push,alloc::vec::Vec::push,alloc:5007,alloc/src/vec/mod.rs:1001,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn push(&mut self, value: T)",none,safe,stable,1.0.0,const,Rust,False,False,existing-vstd,std_specs/vec.rs:141,exact-existing-vstd,integrate-existing-vstd-contract,vec-sequence-mutation,"&mut self, value: T",unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::push_mut,alloc::vec::Vec::push_mut,alloc::vec::Vec::push_mut,alloc:5020,alloc/src/vec/mod.rs:1033,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn push_mut(&mut self, value: T) -> &mut T",none,safe,stable,1.95.0,const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-sequence-mutation,"&mut self, value: T",&mut T,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::remove,alloc::vec::Vec::remove,alloc::vec::Vec::remove,alloc:5048,alloc/src/vec/mod.rs:2404,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn remove(&mut self, index: usize) -> T",none,safe,stable,1.0.0,non-const,Rust,False,False,existing-vstd,std_specs/vec.rs:220,exact-existing-vstd,integrate-existing-vstd-contract,vec-sequence-mutation,"&mut self, index: usize",T,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::reserve,alloc::vec::Vec::reserve,alloc::vec::Vec::reserve,alloc:5009,alloc/src/vec/mod.rs:1468,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn reserve(&mut self, additional: usize)",none,safe,stable,1.0.0,non-const,Rust,False,False,existing-vstd,std_specs/vec.rs:125,exact-existing-vstd,integrate-existing-vstd-contract,vec-capacity-allocation-state,"&mut self, additional: usize",unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,"capacity lower/upper bounds, allocator-state boundary, no allocation identity assumption",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::reserve_exact,alloc::vec::Vec::reserve_exact,alloc::vec::Vec::reserve_exact,alloc:5028,alloc/src/vec/mod.rs:1498,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn reserve_exact(&mut self, additional: usize)",none,safe,stable,1.0.0,non-const,Rust,False,False,existing-vstd,std_specs/capacity.rs:42,exact-existing-vstd,integrate-existing-vstd-contract,vec-capacity-allocation-state,"&mut self, additional: usize",unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,"capacity lower/upper bounds, allocator-state boundary, no allocation identity assumption",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::resize,alloc::vec::Vec::resize,alloc::vec::Vec::resize,alloc:5044,alloc/src/vec/mod.rs:3532,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn resize(&mut self, new_len: usize, value: T)",none,safe,stable,1.5.0,non-const,Rust,False,False,existing-vstd,std_specs/vec.rs:306,exact-existing-vstd,integrate-existing-vstd-contract,vec-sequence-mutation,"&mut self, new_len: usize, value: T",unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::resize_with,alloc::vec::Vec::resize_with,alloc::vec::Vec::resize_with,alloc:5065,alloc/src/vec/mod.rs:3182,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn resize_with<F>(&mut self, new_len: usize, f: F) where F: FnMut() -> T,",<F>; where F: FnMut() -> T,safe,stable,1.33.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-callback-trace-mutation,"&mut self, new_len: usize, f: F","T,",may mutate receiver Vec; inventory requires old/final frame in generation phase,source-order FnMut/FnOnce callback trace plus retained/deduped sequence relation,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::retain,alloc::vec::Vec::retain,alloc::vec::Vec::retain,alloc:5052,alloc/src/vec/mod.rs:2488,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn retain<F>(&mut self, mut f: F) where F: FnMut(&T) -> bool,",<F>; where F: FnMut(&T) -> bool,safe,stable,1.0.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-callback-trace-mutation,"&mut self, mut f: F","bool,",may mutate receiver Vec; inventory requires old/final frame in generation phase,source-order FnMut/FnOnce callback trace plus retained/deduped sequence relation,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::retain_mut,alloc::vec::Vec::retain_mut,alloc::vec::Vec::retain_mut,alloc:5053,alloc/src/vec/mod.rs:2514,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn retain_mut<F>(&mut self, mut f: F) where F: FnMut(&mut T) -> bool,",<F>; where F: FnMut(&mut T) -> bool,safe,stable,1.61.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-callback-trace-mutation,"&mut self, mut f: F","bool,",may mutate receiver Vec; inventory requires old/final frame in generation phase,source-order FnMut/FnOnce callback trace plus retained/deduped sequence relation,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::set_len,alloc::vec::Vec::set_len,alloc::vec::Vec::set_len,alloc:5047,alloc/src/vec/mod.rs:2224,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub unsafe fn set_len(&mut self, new_len: usize)",none,unsafe,stable,1.0.0,const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-raw-parts-pointer-provenance,"&mut self, new_len: usize",unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,"raw pointer/provenance/layout boundary, len/capacity domain helpers",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::shrink_to,alloc::vec::Vec::shrink_to,alloc::vec::Vec::shrink_to,alloc:5006,alloc/src/vec/mod.rs:1631,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn shrink_to(&mut self, min_capacity: usize)",none,safe,stable,1.56.0,non-const,Rust,False,False,existing-vstd,std_specs/capacity.rs:67,exact-existing-vstd,integrate-existing-vstd-contract,vec-capacity-allocation-state,"&mut self, min_capacity: usize",unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,"capacity lower/upper bounds, allocator-state boundary, no allocation identity assumption",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::shrink_to_fit,alloc::vec::Vec::shrink_to_fit,alloc::vec::Vec::shrink_to_fit,alloc:856,alloc/src/vec/mod.rs:1602,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub fn shrink_to_fit(&mut self),none,safe,stable,1.0.0,non-const,Rust,False,False,existing-vstd,std_specs/capacity.rs:60,exact-existing-vstd,integrate-existing-vstd-contract,vec-capacity-allocation-state,&mut self,unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,"capacity lower/upper bounds, allocator-state boundary, no allocation identity assumption",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::spare_capacity_mut,alloc::vec::Vec::spare_capacity_mut,alloc::vec::Vec::spare_capacity_mut,alloc:5046,alloc/src/vec/mod.rs:3262,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub fn spare_capacity_mut(&mut self) -> &mut [MaybeUninit<T>],none,safe,stable,1.60.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-spare-capacity-maybeuninit-storage,&mut self,&mut [MaybeUninit<T>],may mutate receiver Vec; inventory requires old/final frame in generation phase,MaybeUninit spare storage relation and initialized prefix boundary,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::splice,alloc::vec::Vec::splice,alloc::vec::Vec::splice,alloc:4826,alloc/src/vec/mod.rs:4141,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn splice<R, I>(&mut self, range: R, replace_with: I) -> Splice<'_, I::IntoIter, A> where R: RangeBounds<usize>, I: IntoIterator<Item = T>,","<R, I>; where R: RangeBounds<usize>, I: IntoIterator<Item = T>",safe,stable,1.21.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-iterator-adaptor-state,"&mut self, range: R, replace_with: I","Splice<'_, I::IntoIter, A>",may mutate receiver Vec; inventory requires old/final frame in generation phase,Drain/Splice/IntoIter/ExtractIf remaining-sequence and source-Vec frame state,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::split_off,alloc::vec::Vec::split_off,alloc::vec::Vec::split_off,alloc:5063,alloc/src/vec/mod.rs:3121,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn split_off(&mut self, at: usize) -> Self where A: Clone,",where A: Clone,safe,stable,1.4.0,non-const,Rust,False,False,existing-vstd,std_specs/vec.rs:263,exact-existing-vstd,integrate-existing-vstd-contract,vec-sequence-mutation,"&mut self, at: usize",Self,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::swap_remove,alloc::vec::Vec::swap_remove,alloc::vec::Vec::swap_remove,alloc:5049,alloc/src/vec/mod.rs:2260,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn swap_remove(&mut self, index: usize) -> T",none,safe,stable,1.0.0,non-const,Rust,False,False,existing-vstd,std_specs/vec.rs:192,exact-existing-vstd,integrate-existing-vstd-contract,vec-sequence-mutation,"&mut self, index: usize",T,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::truncate,alloc::vec::Vec::truncate,alloc::vec::Vec::truncate,alloc:5036,alloc/src/vec/mod.rs:1816,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn truncate(&mut self, len: usize)",none,safe,stable,1.0.0,non-const,Rust,False,False,existing-vstd,std_specs/vec.rs:300,exact-existing-vstd,integrate-existing-vstd-contract,vec-sequence-mutation,"&mut self, len: usize",unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::try_reserve,alloc::vec::Vec::try_reserve,alloc::vec::Vec::try_reserve,alloc:5029,alloc/src/vec/mod.rs:1535,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn try_reserve(&mut self, additional: usize) -> Result<(), TryReserveError>",none,safe,stable,1.57.0,non-const,Rust,False,False,existing-vstd,std_specs/vec.rs:133,exact-existing-vstd,integrate-existing-vstd-contract,vec-capacity-allocation-state,"&mut self, additional: usize","Result<(), TryReserveError>",may mutate receiver Vec; inventory requires old/final frame in generation phase,"capacity lower/upper bounds, allocator-state boundary, no allocation identity assumption",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::try_reserve_exact,alloc::vec::Vec::try_reserve_exact,alloc::vec::Vec::try_reserve_exact,alloc:5030,alloc/src/vec/mod.rs:1578,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn try_reserve_exact(&mut self, additional: usize) -> Result<(), TryReserveError>",none,safe,stable,1.57.0,non-const,Rust,False,False,existing-vstd,std_specs/capacity.rs:51,exact-existing-vstd,integrate-existing-vstd-contract,vec-capacity-allocation-state,"&mut self, additional: usize","Result<(), TryReserveError>",may mutate receiver Vec; inventory requires old/final frame in generation phase,"capacity lower/upper bounds, allocator-state boundary, no allocation identity assumption",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::with_capacity,alloc::vec::Vec::with_capacity,alloc::vec::Vec::with_capacity,alloc:5001,alloc/src/vec/mod.rs:521,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub const fn with_capacity(capacity: usize) -> Self,none,safe,stable,1.0.0,const,Rust,False,False,existing-vstd,std_specs/vec.rs:115,exact-existing-vstd,integrate-existing-vstd-contract,vec-capacity-allocation-state,capacity: usize,Self,none; observational or constructor result only,"capacity lower/upper bounds, allocator-state boundary, no allocation identity assumption",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
