target,status,semantic_family,contract_coverage_result,typecheck_result,determinism_result,target_binding_result,signature_shape_result,generic_bounds_result,anti_vacuity_result,source_fidelity_result
core::slice::chunks,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-or-subslice-state-boundary; unknown_review_reason=contract fixes source/remaining/subrange state, but the Rust iterator, chunk, split, or borrowed subslice value retains opaque runtime/lifetime state; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__chunks/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__chunks/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__chunks/det_harness.rs",target core::slice::chunks bound from inventory declaration core:33631 at core/src/slice/mod.rs:1158,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::chunks_exact,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-or-subslice-state-boundary; unknown_review_reason=contract fixes source/remaining/subrange state, but the Rust iterator, chunk, split, or borrowed subslice value retains opaque runtime/lifetime state; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__chunks_exact/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__chunks_exact/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__chunks_exact/det_harness.rs",target core::slice::chunks_exact bound from inventory declaration core:33657 at core/src/slice/mod.rs:1245,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::chunks_exact_mut,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-or-subslice-state-boundary; unknown_review_reason=contract fixes source/remaining/subrange state, but the Rust iterator, chunk, split, or borrowed subslice value retains opaque runtime/lifetime state; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__chunks_exact_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__chunks_exact_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__chunks_exact_mut/det_harness.rs",target core::slice::chunks_exact_mut bound from inventory declaration core:33673 at core/src/slice/mod.rs:1293,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::chunks_mut,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-or-subslice-state-boundary; unknown_review_reason=contract fixes source/remaining/subrange state, but the Rust iterator, chunk, split, or borrowed subslice value retains opaque runtime/lifetime state; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__chunks_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__chunks_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__chunks_mut/det_harness.rs",target core::slice::chunks_mut bound from inventory declaration core:33644 at core/src/slice/mod.rs:1202,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::clone_from_slice,generated-new-real-relation-spec,mutation-frame-and-permutation,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_observation_mutation_batch.rs --no-verify; harness=verification/harnesses/slice_observation_mutation_batch.rs; stdout=verification/evidence/slice_observation_mutation_batch.verus.stdout(empty); stderr=verification/evidence/slice_observation_mutation_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=clone-or-callback-effect-boundary; unknown_review_reason=Clone/FnMut effects are modeled by source-order observation relations, so the contract preserves effect nondeterminism instead of choosing outputs; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__clone_from_slice/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__clone_from_slice/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__clone_from_slice/det_harness.rs",target core::slice::clone_from_slice bound from inventory declaration core:10943 at core/src/slice/mod.rs:4260,signature mirrored from inventory row and source declaration,"T: [const] Clone + [const] Destruct,",passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::contains,generated-new-real-relation-spec,search-prefix-suffix-ordering,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_observation_mutation_batch.rs --no-verify; harness=verification/harnesses/slice_observation_mutation_batch.rs; stdout=verification/evidence/slice_observation_mutation_batch.verus.stdout(empty); stderr=verification/evidence/slice_observation_mutation_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__contains/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__contains/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__contains/det_harness.rs,target core::slice::contains bound from inventory declaration core:61098 at core/src/slice/mod.rs:2594,signature mirrored from inventory row and source declaration,"T: PartialEq,",passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::copy_from_slice,existing-vstd,existing-vstd-baseline,covered: existing-vstd,static-contract-shape-check: passed; copied vstd excerpt available for Verus review,deterministic where vstd contract is deterministic; iterator relation uses existing vstd iterator law,target core::slice::copy_from_slice mapped to vstd-baseline/std_specs/slice.rs:212-218,signature mirrored from inventory row and source declaration,"T: Copy,",passed: exact existing vstd relation retained and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::copy_within,existing-vstd,existing-vstd-baseline,covered: existing-vstd,static-contract-shape-check: passed; copied vstd excerpt available for Verus review,deterministic where vstd contract is deterministic; iterator relation uses existing vstd iterator law,target core::slice::copy_within mapped to vstd-baseline/std_specs/slice.rs:220-259,signature mirrored from inventory row and source declaration,"<R: RangeBounds<usize>> T: Copy,",passed: exact existing vstd relation retained and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::element_offset,generated-new-real-relation-spec,raw-pointer-and-provenance,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=pointer address, provenance, alignment, or layout state is source-observable but not uniquely recoverable from the pure slice Seq view; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__element_offset/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__element_offset/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__element_offset/det_harness.rs",target core::slice::element_offset bound from inventory declaration core:61143 at core/src/slice/mod.rs:5267,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::ends_with,generated-new-real-relation-spec,search-prefix-suffix-ordering,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_observation_mutation_batch.rs --no-verify; harness=verification/harnesses/slice_observation_mutation_batch.rs; stdout=verification/evidence/slice_observation_mutation_batch.verus.stdout(empty); stderr=verification/evidence/slice_observation_mutation_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__ends_with/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__ends_with/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__ends_with/det_harness.rs,target core::slice::ends_with bound from inventory declaration core:61100 at core/src/slice/mod.rs:2655,signature mirrored from inventory row and source declaration,"T: PartialEq,",passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::eq_ignore_ascii_case,generated-new-real-relation-spec,ascii-byte-sequence,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__eq_ignore_ascii_case/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__eq_ignore_ascii_case/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__eq_ignore_ascii_case/det_harness.rs,target core::slice::eq_ignore_ascii_case bound from inventory declaration core:61046 at core/src/slice/ascii.rs:60,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::escape_ascii,generated-new-real-relation-spec,ascii-byte-sequence,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__escape_ascii/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__escape_ascii/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__escape_ascii/det_harness.rs,target core::slice::escape_ascii bound from inventory declaration core:33425 at core/src/slice/ascii.rs:218,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::fill,generated-new-real-relation-spec,mutation-frame-and-permutation,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_observation_mutation_batch.rs --no-verify; harness=verification/harnesses/slice_observation_mutation_batch.rs; stdout=verification/evidence/slice_observation_mutation_batch.verus.stdout(empty); stderr=verification/evidence/slice_observation_mutation_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=clone-or-callback-effect-boundary; unknown_review_reason=Clone/FnMut effects are modeled by source-order observation relations, so the contract preserves effect nondeterminism instead of choosing outputs; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__fill/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__fill/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__fill/det_harness.rs",target core::slice::fill bound from inventory declaration core:61030 at core/src/slice/mod.rs:4172,signature mirrored from inventory row and source declaration,"T: Clone,",passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::fill_with,generated-new-real-relation-spec,mutation-frame-and-permutation,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_observation_mutation_batch.rs --no-verify; harness=verification/harnesses/slice_observation_mutation_batch.rs; stdout=verification/evidence/slice_observation_mutation_batch.verus.stdout(empty); stderr=verification/evidence/slice_observation_mutation_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__fill_with/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__fill_with/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__fill_with/det_harness.rs,target core::slice::fill_with bound from inventory declaration core:61127 at core/src/slice/mod.rs:4196,signature mirrored from inventory row and source declaration,"<F> F: FnMut() -> T,",passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::first,existing-vstd,existing-vstd-baseline,covered: existing-vstd,static-contract-shape-check: passed; copied vstd excerpt available for Verus review,deterministic where vstd contract is deterministic; iterator relation uses existing vstd iterator law,target core::slice::first mapped to vstd-baseline/std_specs/slice.rs:166-170,signature mirrored from inventory row and source declaration,none,passed: exact existing vstd relation retained and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::first_chunk,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__first_chunk/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__first_chunk/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__first_chunk/det_harness.rs,target core::slice::first_chunk bound from inventory declaration core:61064 at core/src/slice/mod.rs:327,signature mirrored from inventory row and source declaration,<const N: usize>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::first_chunk_mut,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-or-subslice-state-boundary; unknown_review_reason=contract fixes source/remaining/subrange state, but the Rust iterator, chunk, split, or borrowed subslice value retains opaque runtime/lifetime state; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__first_chunk_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__first_chunk_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__first_chunk_mut/det_harness.rs",target core::slice::first_chunk_mut bound from inventory declaration core:61065 at core/src/slice/mod.rs:357,signature mirrored from inventory row and source declaration,<const N: usize>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::first_mut,existing-vstd,existing-vstd-baseline,covered: existing-vstd,static-contract-shape-check: passed; copied vstd excerpt available for Verus review,deterministic where vstd contract is deterministic; iterator relation uses existing vstd iterator law,target core::slice::first_mut mapped to vstd-baseline/std_specs/slice.rs:178-184,signature mirrored from inventory row and source declaration,none,passed: exact existing vstd relation retained and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::from_mut,generated-new-real-relation-spec,raw-pointer-and-provenance,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=pointer address, provenance, alignment, or layout state is source-observable but not uniquely recoverable from the pure slice Seq view; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__from_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__from_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__from_mut/det_harness.rs",target core::slice::from_mut bound from inventory declaration core:33772 at core/src/slice/raw.rs:211,signature mirrored from inventory row and source declaration,<T>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::from_raw_parts,generated-new-real-relation-spec,raw-pointer-and-provenance,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=pointer address, provenance, alignment, or layout state is source-observable but not uniquely recoverable from the pure slice Seq view; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__from_raw_parts/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__from_raw_parts/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__from_raw_parts/det_harness.rs",target core::slice::from_raw_parts bound from inventory declaration core:9483 at core/src/slice/raw.rs:124,signature mirrored from inventory row and source declaration,"<'a, T>",passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::from_raw_parts_mut,generated-new-real-relation-spec,raw-pointer-and-provenance,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=pointer address, provenance, alignment, or layout state is source-observable but not uniquely recoverable from the pure slice Seq view; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__from_raw_parts_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__from_raw_parts_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__from_raw_parts_mut/det_harness.rs",target core::slice::from_raw_parts_mut bound from inventory declaration core:9596 at core/src/slice/raw.rs:179,signature mirrored from inventory row and source declaration,"<'a, T>",passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::from_ref,generated-new-real-relation-spec,raw-pointer-and-provenance,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__from_ref/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__from_ref/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__from_ref/det_harness.rs,target core::slice::from_ref bound from inventory declaration core:33771 at core/src/slice/raw.rs:203,signature mirrored from inventory row and source declaration,<T>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::get,existing-vstd,existing-vstd-baseline,covered: existing-vstd,static-contract-shape-check: passed; copied vstd excerpt available for Verus review,deterministic where vstd contract is deterministic; iterator relation uses existing vstd iterator law,target core::slice::get mapped to vstd-baseline/slice.rs:133-148,signature mirrored from inventory row and source declaration,"<I> I: [const] SliceIndex<Self>,",passed: exact existing vstd relation retained and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::get_disjoint_mut,generated-new-real-relation-spec,mutation-frame-and-permutation,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=disjoint-mutable-alias-boundary; unknown_review_reason=disjoint mutable-reference arrays preserve source aliasing and post-state relations, but reference identity is not uniquely fixed by the contract; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__get_disjoint_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__get_disjoint_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__get_disjoint_mut/det_harness.rs",target core::slice::get_disjoint_mut bound from inventory declaration core:33825 at core/src/slice/mod.rs:5216,signature mirrored from inventory row and source declaration,"<I, const N: usize> I: GetDisjointMutIndex + SliceIndex<Self>,",passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
