target,no_feedback_status,with_feedback_status,no_feedback_complete,with_feedback_complete,no_feedback_proof_status,with_feedback_proof_status,no_feedback_no_spec_reason,with_feedback_no_spec_reason,initial_classification
core::fmt::Write::write_str,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::fmt::from_fn,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,formatting_effect,formatting_effect,formatting_effect
core::fmt::write,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,formatting_effect,formatting_effect,formatting_effect
core::future::Future::poll,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::future::IntoFuture::into_future,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::future::Ready::into_inner,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
core::future::pending,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
core::future::poll_fn,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
core::future::ready,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
core::hint::assert_unchecked,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::hint::black_box,complete,complete,True,True,not_proved,not_proved,,,suitable_now
core::hint::cold_path,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,no_modeled_observable_output,no_modeled_observable_output,no_modeled_observable_output
core::hint::select_unpredictable,complete,complete,True,True,not_proved,not_proved,,,suitable_now
core::hint::spin_loop,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,no_modeled_observable_output,no_modeled_observable_output,no_modeled_observable_output
core::intrinsics::copy,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::intrinsics::copy_nonoverlapping,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::intrinsics::transmute,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::intrinsics::write_bytes,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::io::Chain::get_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Chain::get_ref,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Chain::into_inner,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Cursor::get_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Cursor::get_ref,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Cursor::into_inner,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Cursor::new,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Cursor::position,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Cursor::set_position,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Error::get_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Error::get_ref,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Error::kind,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Error::raw_os_error,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::IoSlice::advance,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::IoSlice::advance_slices,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::IoSlice::new,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::IoSliceMut::advance,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::IoSliceMut::advance_slices,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::IoSliceMut::new,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::and,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::and_then,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::as_deref,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::as_deref_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::as_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::as_ref,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::cloned,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::copied,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::err,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::expect,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::expect_err,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::flatten,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::inspect,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::inspect_err,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::is_err,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::is_err_and,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::is_ok,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::is_ok_and,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::iter,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::iter_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::map,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::map_err,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::map_or,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::map_or_default,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::map_or_else,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::ok,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::or,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::or_else,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::transpose,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::unwrap,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::unwrap_err,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::unwrap_err_unchecked,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::unwrap_or,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::unwrap_or_default,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::unwrap_or_else,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Result::unwrap_unchecked,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Seek::rewind,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Seek::seek,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Seek::seek_relative,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Seek::stream_position,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Take::get_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Take::get_ref,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Take::into_inner,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Take::limit,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::Take::set_limit,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::empty,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::repeat,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::io::sink,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
core::iter::DoubleEndedIterator::nth_back,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::DoubleEndedIterator::rfind,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::DoubleEndedIterator::rfold,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::DoubleEndedIterator::try_rfold,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::ExactSizeIterator::len,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Extend::extend,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::by_ref,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::chain,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::cloned,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::cmp,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::copied,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::count,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::cycle,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::enumerate,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::eq,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::filter,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::filter_map,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::find_map,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::flat_map,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::flatten,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::fold,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::for_each,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::fuse,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::ge,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::gt,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::inspect,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::is_sorted,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::is_sorted_by,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::is_sorted_by_key,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::last,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::le,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::lt,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::map,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::map_while,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::max,typecheck_or_checker_failure,typecheck_or_checker_failure,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::max_by,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::max_by_key,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::min,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::min_by,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::min_by_key,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::ne,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::nth,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::partial_cmp,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::partition,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::peekable,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::position,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::product,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::reduce,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::rposition,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::scan,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::size_hint,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::skip,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::skip_while,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::step_by,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::sum,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::take,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::take_while,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::try_fold,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::try_for_each,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::unzip,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Iterator::zip,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Peekable::next_if,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::Peekable::next_if_eq,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::Peekable::next_if_map,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::Peekable::next_if_map_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::Peekable::peek,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::Peekable::peek_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::iter::Product::product,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::Sum::sum,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
core::iter::chain,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::empty,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::from_fn,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::once,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::once_with,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::repeat,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::repeat_n,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::repeat_with,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::successors,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::iter::zip,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
core::mem::ManuallyDrop::drop,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::mem::ManuallyDrop::take,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::mem::MaybeUninit::as_mut_ptr,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::mem::MaybeUninit::as_ptr,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::mem::MaybeUninit::assume_init_drop,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
core::mem::MaybeUninit::assume_init_read,complete,skip_no_spec,True,False,strict_faithful_admissible,no_valid_spec,,,unsafe_or_representation_sensitive
core::mem::MaybeUninit::write,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
core::mem::MaybeUninit::zeroed,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,ownership_or_uninitialized_model,ownership_or_uninitialized_model,ownership_or_uninitialized_model
