target,category,final_decision,rationale_taxonomy,taxonomy_source_fields,taxonomy_source_backed,adequacy_verdict,adequacy_notes,unjustified_skip,issues_combined,combined_issue_taxonomy_tags,rationale,requires,requires_source_fidelity_classification
core::cell::Ref::map,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:higher_order_contract,classification:higher_order_contract;higher_order_behavior_unmodeled,"The implementation preserves the borrow guard and maps its referent to the reference returned by the closure, but no public vstd model exposes a core::cell::Ref referent or reference identity. Therefore the result cannot be soundly related to the closure output without additionally specifying hidden Ref state or Deref behavior.",,not_applicable
core::cell::Ref::map_split,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:higher_order_contract,classification:higher_order_contract;higher_order_behavior_unmodeled,"The implementation calls the closure on the value behind `orig` and wraps both returned references while cloning the hidden borrow guard. Existing public vstd vocabulary provides no model for `core::cell::Ref` that can relate its dereferenced value or borrow state to the two returned `Ref`s, so no useful sound result relation is expressible.",,not_applicable
core::cell::RefCell::as_ptr,data_structure,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form;unsafe_or_representation_sensitive,"RefCell<T> and raw-pointer is_null are unsupported by existing vstd vocabulary. The only source-justified ordinary postcondition is non-nullness, so no useful typechecking contract can be stated without expanding the trusted specification surface.",,not_applicable
core::cell::RefCell::borrow,data_structure,skip,needs_new_vstd_abstraction,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,a source fact is documented but needs new shared vstd vocabulary before it can be expressed,false,classification:needs_new_vstd_abstraction,classification:needs_new_vstd_abstraction;needs_new_vstd_abstraction,"The method depends on RefCell's hidden dynamic borrow state, may panic when mutably borrowed, and returns a guarded Ref. No existing public vstd vocabulary can soundly relate the returned guard to the wrapped value or model borrow-state transitions.",,not_applicable
core::cell::RefCell::borrow_mut,data_structure,skip,runtime_or_hidden_state,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on OS, runtime, synchronization, or compiler-maintained hidden state",false,classification:needs_new_vstd_abstraction,classification:needs_new_vstd_abstraction;runtime_or_hidden_state,"borrow_mut depends on RefCell's hidden runtime borrow state, may panic when already borrowed, and returns a RefMut guard whose access and lifetime effects lack public vstd specification vocabulary. No useful non-vacuous result relation is expressible without introducing a new RefCell/RefMut abstraction.",,not_applicable
core::cell::RefCell::get_mut,data_structure,skip,determinism_unsupported_contract_form,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,determinism feedback could not certify the modeled contract form,false,classification:determinism_checker_unsupported,classification:determinism_checker_unsupported;determinism_unsupported_contract_form,The implementation returns a mutable reference to RefCell's private UnsafeCell value. No supplied public vstd view or accessor can express that the result aliases the wrapped value or that mutations through it update the RefCell. A value-only postcondition would lose the required reference identity and could be unsound.,,not_applicable
core::cell::RefCell::into_inner,data_structure,skip,needs_new_vstd_abstraction,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,a source fact is documented but needs new shared vstd vocabulary before it can be expressed,false,classification:needs_new_vstd_abstraction,classification:needs_new_vstd_abstraction;needs_new_vstd_abstraction,"The implementation returns the private UnsafeCell payload, but no public vstd abstraction exposes a RefCell's contained value. Therefore no useful, non-vacuous result relation is expressible.",,not_applicable
core::cell::RefCell::new,data_structure,skip,runtime_or_hidden_state,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on OS, runtime, synchronization, or compiler-maintained hidden state",false,classification:needs_new_vstd_abstraction,classification:needs_new_vstd_abstraction;runtime_or_hidden_state,"Although the implementation stores `value` and initializes the borrow counter, no public vstd abstraction exposes a RefCell's contained value or borrow state. A useful result relation therefore cannot be expressed without inventing access to private hidden state.",,not_applicable
core::cell::RefCell::replace,data_structure,skip,needs_new_vstd_abstraction,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,a source fact is documented but needs new shared vstd vocabulary before it can be expressed,false,classification:needs_new_vstd_abstraction,classification:needs_new_vstd_abstraction;needs_new_vstd_abstraction,"RefCell's wrapped value and dynamic borrow state are hidden, and no public vstd abstraction is available to describe them. Therefore neither the returned old value, the newly stored value, nor the non-panicking condition can be expressed soundly.",,not_applicable
core::cell::RefCell::replace_with,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:higher_order_contract,classification:higher_order_contract;higher_order_behavior_unmodeled,"The implementation depends on RefCell's hidden borrow state and invokes a closure with mutable access to the wrapped value. Without an existing public vstd model for RefCell contents and closure-call effects, no useful non-vacuous result relation is expressible soundly.",,not_applicable
core::cell::RefCell::swap,data_structure,skip,no_modeled_observable_output,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,the executable API has no modeled observable output beyond already-typed effects,false,classification:no_modeled_observable_output;no_modeled_observable_output,classification:no_modeled_observable_output;no_modeled_observable_output,"The method returns unit and mutates values hidden behind shared RefCell references. Without public vstd vocabulary modeling RefCell contents and borrow state, no useful sound relation is expressible.",,not_applicable
core::cell::RefCell::take,data_structure,skip,needs_new_vstd_abstraction,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,a source fact is documented but needs new shared vstd vocabulary before it can be expressed,false,classification:needs_new_vstd_abstraction,classification:needs_new_vstd_abstraction;needs_new_vstd_abstraction,"RefCell::take returns the previously wrapped value and replaces it with Default::default(), but existing public vstd vocabulary exposes neither the RefCell contents nor its dynamic borrow state. No useful sound relation is expressible without a new RefCell abstraction.",,not_applicable
core::cell::RefCell::try_borrow,data_structure,skip,runtime_or_hidden_state,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on OS, runtime, synchronization, or compiler-maintained hidden state",false,classification:needs_new_vstd_abstraction,classification:needs_new_vstd_abstraction;runtime_or_hidden_state,"The result depends on RefCell's hidden runtime borrow state. Without a public vstd abstraction for that state or Ref, no useful sound relation can characterize whether the result is Ok or Err or relate the returned Ref to the wrapped value.",,not_applicable
core::cell::RefCell::try_borrow_mut,data_structure,skip,needs_new_vstd_abstraction,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,a source fact is documented but needs new shared vstd vocabulary before it can be expressed,false,classification:needs_new_vstd_abstraction,classification:needs_new_vstd_abstraction;needs_new_vstd_abstraction,"The result depends on RefCell's hidden dynamic borrow state, and no public vstd vocabulary models that state or the returned RefMut guard's exclusivity. Therefore no useful non-vacuous result relation is expressible.",,not_applicable
core::cell::RefCell::try_borrow_unguarded,data_structure,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive,classification:unsafe_or_representation_sensitive;unsafe_or_representation_sensitive,"Success depends on RefCell's hidden borrow flag, which has no public vstd specification vocabulary. The returned reference aliases the wrapped value, but neither that reference identity nor the private value field can be soundly related through an expressible public specification.",,not_applicable
core::cell::RefMut::filter_map,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:higher_order_contract,classification:higher_order_contract;higher_order_behavior_unmodeled,"The result branch and projected RefMut depend on calling f with the guarded mutable reference. No supplied public vstd vocabulary models RefMut contents, guard identity, or the FnOnce call result, so no useful non-vacuous result relation is expressible.",,not_applicable
core::cell::RefMut::map,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:higher_order_contract,classification:higher_order_contract;higher_order_behavior_unmodeled,"The result preserves the hidden borrow guard and points to the mutable reference selected by the closure. No supplied public vstd model can relate RefMut's dereference target to the closure's returned reference identity, so a useful sound postcondition is not expressible.",,not_applicable
core::cell::RefMut::map_split,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:higher_order_contract,classification:higher_order_contract;higher_order_behavior_unmodeled,"The implementation invokes an arbitrary FnOnce to select two mutable subreferences, then stores their pointers and shared dynamic-borrow token in opaque RefMut values. Without a public RefMut model or a way to relate the closure's returned references to the wrappers, no useful sound result relation is expressible.",,not_applicable
core::cell::UnsafeCell::from_mut,data_structure,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:determinism_checker_unsupported,classification:determinism_checker_unsupported;unsafe_or_representation_sensitive,"The implementation guarantees reference identity through a transparent pointer reinterpretation, but no supplied public vstd vocabulary can express that identity for the returned mutable UnsafeCell reference. A value/view relation would not capture the API's essential guarantee and could be unsound for unsized T or interior mutation.",,not_applicable
core::cell::UnsafeCell::get,data_structure,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form;unsafe_or_representation_sensitive,The useful behavior is the representation-sensitive identity and provenance relationship between the receiver and returned raw pointer. Expressing that relationship requires a reference-to-raw-pointer cast that Verus does not support here. Weaker properties such as non-nullness would not adequately model the method's observable semantics.,,not_applicable
core::cell::UnsafeCell::get_mut,data_structure,skip,needs_new_vstd_abstraction,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,a source fact is documented but needs new shared vstd vocabulary before it can be expressed,false,classification:determinism_checker_unsupported,classification:determinism_checker_unsupported;needs_new_vstd_abstraction,"The implementation returns a mutable reference to the private `value` field. No public vstd model exposes that field or a sound reference-identity relation connecting the result to the `UnsafeCell`, so no useful non-vacuous postcondition is expressible.",,not_applicable
core::cell::UnsafeCell::into_inner,data_structure,skip,needs_new_vstd_abstraction,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,a source fact is documented but needs new shared vstd vocabulary before it can be expressed,false,classification:needs_new_vstd_abstraction,classification:needs_new_vstd_abstraction;needs_new_vstd_abstraction,"The implementation returns the consumed UnsafeCell's private value, but no public vstd view or other specification vocabulary exposes that value. Therefore no useful, non-vacuous result relation can be expressed without inventing hidden-state access.",,not_applicable
core::cell::UnsafeCell::new,data_structure,skip,needs_new_vstd_abstraction,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,a source fact is documented but needs new shared vstd vocabulary before it can be expressed,false,classification:needs_new_vstd_abstraction,classification:needs_new_vstd_abstraction;needs_new_vstd_abstraction,"UnsafeCell::new stores value directly, but no supplied public vstd abstraction exposes the wrapped value. A useful result relation cannot be stated without inventing access to private state.",,not_applicable
core::cell::UnsafeCell::raw_get,data_structure,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form;unsafe_or_representation_sensitive,"UnsafeCell<T> is unsupported by existing vstd modeling, so an ordinary contract for this declaration does not typecheck. Adding an external type specification solely for this method would enlarge the trusted surface, while address and provenance preservation alone would still omit wide-pointer metadata and would not fully characterize the returned pointer.",,not_applicable
core::clone::Clone::clone_from,trait_method,skip,clone_semantics_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,Rust Clone does not guarantee equality or public-view preservation for arbitrary T,false,classification:trait_contract_integration;determinism_unsupported_contract_form,classification:trait_contract_integration;determinism_unsupported_contract_form;clone_semantics_unmodeled,"Although clone_from is documented as functionally equivalent to assigning source.clone(), Clone::clone has no generic public vstd relation for arbitrary Self. Implementations may override clone_from, and no sound, non-vacuous postcondition over final(self) can be expressed without inventing generic clone semantics.",,not_applicable
core::cmp::Ordering::is_eq,data_structure,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,Ordering::is_eq already has an equivalent assume_specification in vstd/std_specs/ordering.rs. Adding another contract is redundant and rejected as a duplicate specification.,,not_applicable
core::cmp::Ordering::is_ge,data_structure,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,"Skip because vstd already declares the source-justified contract for Ordering::is_ge in std_specs/ordering.rs. Adding another assume_specification is rejected as a duplicate, so no additional ordinary trusted contract is needed.",,not_applicable
core::cmp::Ordering::is_gt,data_structure,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,vstd already declares the source-justified specification `result <==> ordering is Greater` for `Ordering::is_gt`; adding another trusted contract fails typechecking as a duplicate and would be redundant.,,not_applicable
core::cmp::Ordering::is_le,data_structure,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,"vstd already declares an assume_specification for Ordering::is_le in std_specs/ordering.rs. Adding another contract necessarily fails with a duplicate specification, so no additional ordinary contract is appropriate.",,not_applicable
core::cmp::Ordering::is_lt,data_structure,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,vstd already provides the same source-justified assume_specification for Ordering::is_lt in std_specs/ordering.rs; adding another specification is rejected as a duplicate.,,not_applicable
core::cmp::Ordering::is_ne,data_structure,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,"vstd already declares an equivalent trusted assume_specification for Ordering::is_ne in std_specs/ordering.rs. Adding another contract for the same method is rejected as a duplicate specification, so no additional ordinary contract can typecheck.",,not_applicable
core::cmp::Ordering::reverse,data_structure,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,"vstd already provides an assume_specification for Ordering::reverse, so adding another causes a duplicate-specification typecheck error and is redundant.",,not_applicable
core::cmp::Ordering::then,data_structure,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,"Existing vstd already declares an assume_specification for Ordering::then. Adding another contract necessarily fails with a duplicate specification error, so this target should be skipped rather than redundantly specified.",,not_applicable
core::cmp::Ordering::then_with,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:higher_order_contract;determinism_unsupported_contract_form,classification:higher_order_contract;determinism_unsupported_contract_form;higher_order_behavior_unmodeled,"The Equal branch's observable result is produced by an arbitrary FnOnce closure. Existing vstd vocabulary can describe it only through call_requires/call_ensures, whose relation is not necessarily deterministic. No useful ordinary, source-justified contract can characterize that branch without relying on this inconclusive higher-order relation.",,not_applicable
core::cmp::max_by,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:higher_order_contract;determinism_unsupported_contract_form,classification:higher_order_contract;determinism_unsupported_contract_form;higher_order_behavior_unmodeled,"A useful contract must relate the result to the comparator invocation. In existing vstd vocabulary this requires a higher-order FnOnce requires/ensures contract whose relational postcondition does not establish a unique Ordering, so the selected return value is not deterministic. A weaker result-only contract would omit the defining comparison semantics.",,not_applicable
core::cmp::max_by_key,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:higher_order_contract;determinism_unsupported_contract_form,classification:higher_order_contract;determinism_unsupported_contract_form;higher_order_behavior_unmodeled,"A useful source-justified contract must model two sequential calls to the stateful FnMut closure—first on v2, then on v1—and the subsequent Ord comparison. Existing vstd closure vocabulary does not expose the intermediate closure state needed to connect these calls soundly. Independent existential call_ensures facts may admit inconsistent keys and a nondeterministic result, while merely stating that the result is v1 or v2 omits the defining comparison semantics.",,not_applicable
core::cmp::min_by,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:higher_order_contract;determinism_unsupported_contract_form,classification:higher_order_contract;determinism_unsupported_contract_form;higher_order_behavior_unmodeled,"The return value depends on invoking the caller-provided comparator. Existing vstd vocabulary cannot express a deterministic, source-justified ordinary contract for this choice without relying on higher-order FnOnce requires/ensures predicates. The comparator-independent guarantee that the result is either v1 or v2 is nondeterministic and too weak.",,not_applicable
core::cmp::min_by_key,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:higher_order_contract;determinism_unsupported_contract_form,classification:higher_order_contract;determinism_unsupported_contract_form;higher_order_behavior_unmodeled,"The result depends on two ordered calls to an FnMut closure. Existing vstd call_requires/call_ensures vocabulary does not model the closure-state transition between those calls, so the proposed existential keys are not deterministically tied to the actual sequential execution. No useful ordinary, source-justified contract is available.",,not_applicable
core::convert::AsMut::as_mut,trait_method,skip,trait_contract_integration_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,trait method behavior needs a trait-level semantic law not available as public vstd vocabulary,false,classification:trait_contract_integration;determinism_unsupported_contract_form,classification:trait_contract_integration;determinism_unsupported_contract_form;trait_contract_integration_gap,"AsMut::as_mut permits each implementation to select an arbitrary mutable projection of Self. The supplied trait declaration provides no universal semantic-view or reference-identity relation for that projection, and T may be unsized. No useful non-vacuous result relation is therefore expressible using existing public vstd vocabulary.",,not_applicable
core::convert::AsRef::as_ref,trait_method,skip,trait_contract_integration_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,trait method behavior needs a trait-level semantic law not available as public vstd vocabulary,false,classification:trait_contract_integration;determinism_unsupported_contract_form,classification:trait_contract_integration;determinism_unsupported_contract_form;trait_contract_integration_gap,"AsRef::as_ref has no universal source-justified relation between self and the returned reference beyond its Rust type and lifetime. Different implementations may select different referents, and existing vstd vocabulary cannot express a useful implementation-specific relation through a deterministic, typechecking ordinary contract.",,not_applicable
core::error::Error::cause,trait_method,skip,trait_contract_integration_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,trait method behavior needs a trait-level semantic law not available as public vstd vocabulary,false,classification:trait_contract_integration;determinism_unsupported_contract_form,classification:trait_contract_integration;determinism_unsupported_contract_form;trait_contract_integration_gap,"Although the default implementation delegates to `self.source()`, implementors may override `cause` independently. No useful result relation is therefore guaranteed for every implementation of the trait method.",,not_applicable
core::error::Error::description,trait_method,skip,trait_contract_integration_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,trait method behavior needs a trait-level semantic law not available as public vstd vocabulary,false,classification:trait_contract_integration;determinism_unsupported_contract_form,classification:trait_contract_integration;determinism_unsupported_contract_form;trait_contract_integration_gap,"Error::description is overridable, and the trait imposes no useful semantic relation between self and the returned &str. The default string literal does not constrain overriding implementations.",,not_applicable
core::error::Error::source,trait_method,skip,trait_contract_integration_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,trait method behavior needs a trait-level semantic law not available as public vstd vocabulary,false,classification:trait_contract_integration;determinism_unsupported_contract_form,classification:trait_contract_integration;determinism_unsupported_contract_form;trait_contract_integration_gap,"The default implementation returns None, but trait implementors may override source and return any borrowed 'static Error. The signature already captures the only universal fact; no useful result relation is justified for all implementations.",,not_applicable
core::ffi::CStr::as_ptr,other,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form;unsafe_or_representation_sensitive,"The source justifies non-nullness, but existing vstd vocabulary cannot express it because raw-pointer is_null is unsupported. No other useful, source-justified property of the returned pointer is ordinarily observable without representation-sensitive pointer identity or lifetime modeling.",,not_applicable
core::ffi::CStr::count_bytes,other,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,"CStr::count_bytes already has an assume_specification in vstd/std_specs/ffi.rs. Adding another trusted contract is rejected as a duplicate, so this target requires no new specification.",,not_applicable
core::ffi::CStr::from_bytes_until_nul,other,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,"vstd already declares an assume_specification for CStr::from_bytes_until_nul. Adding another trusted contract is rejected as a duplicate, so this target cannot receive a distinct ordinary contract without replacing or modifying the existing vstd specification.",,not_applicable
core::ffi::CStr::from_bytes_with_nul,other,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,"vstd::std_specs::ffi already declares an identical assume_specification for CStr::from_bytes_with_nul, including validity, success output, and invalid-input error semantics. Adding another contract is redundant and rejected as a duplicate specification.",,not_applicable
core::ffi::CStr::from_bytes_with_nul_unchecked,other,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form;higher_order_behavior_unmodeled,"The function is an unsafe representation cast from &[u8] to &CStr. Although the existing validity predicate captures its safety precondition and the CStr view can describe contents, the available vocabulary cannot source-justifiably specify the returned reference's aliasing or identity with the input allocation. The proposed view-only postcondition therefore leaves reference determinism unproved and omits the operation's representation-sensitive behavior.",,not_applicable
core::ffi::CStr::from_ptr,other,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive,classification:unsafe_or_representation_sensitive;unsafe_or_representation_sensitive,"The result’s byte view depends on memory reached through a raw pointer and the first NUL terminator. The supplied public vstd vocabulary cannot express the pointer validity, readable extent, immutability, or pointed-to bytes needed for a sound non-vacuous relation. A view-only postcondition would also fail to capture reference identity.",,not_applicable
core::ffi::CStr::is_empty,other,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,"Existing vstd already declares an assume_specification for CStr::is_empty, so another ordinary contract would be redundant and rejected as a duplicate.",,not_applicable
core::ffi::CStr::to_bytes,other,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,vstd already provides the source-justified contract `result@ == value@` for `CStr::to_bytes`; adding another specification is rejected as a duplicate and would be redundant.,,not_applicable
core::ffi::CStr::to_bytes_with_nul,other,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,"vstd already provides the same source-justified specification for CStr::to_bytes_with_nul, ensuring result@ == value@.push(0). Adding another assume_specification is redundant and rejected as a duplicate.",,not_applicable
core::ffi::CStr::to_str,other,skip,duplicate_existing_vstd_spec,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,issue tags or rationale identify an existing vstd assume_specification,false,duplicate_vstd_assume_specification,duplicate_vstd_assume_specification;duplicate_existing_vstd_spec,Existing vstd vocabulary provides no available UTF-8 validity predicate or byte-to-string decoding function for relating the CStr contents to the returned str. A weaker result-shape contract would be tautological or omit the method's essential semantics.,,not_applicable
