target,ensures,classification,evidence_kind,rationale,source_reference,source_excerpt
alloc::string::String::remove,"forall |i: int| #![trigger encode_utf8(old(s)@.subrange(0, i))]
            0 <= i < old(s)@.len()
            && idx as nat == encode_utf8(old(s)@.subrange(0, i)).len()
            ==> result == old(s)@[i]
                && final(s)@ == old(s)@.subrange(0, i)
                    + old(s)@.subrange(i + 1, old(s)@.len() as int)",source_justified,string_declaration_source_context,"alloc/src/string.rs:1535 is the classified Rust declaration/source_context for `String::remove`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1535,"1531:     #[inline]
1532:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1533:     #[track_caller]
1534:     #[rustc_confusables(""delete"", ""take"")]
1535:     pub fn remove(&mut self, idx: usize) -> char {
1536:         let ch = match self[idx..].chars().next() {
1537:             Some(ch) => ch,
1538:             None => panic!(""cannot remove a char from the end of a string""),
1539:         };
1540: 
1541:         let next = idx + ch.len_utf8();
1542:         let len = self.len();
1543:         unsafe {"
alloc::string::String::replace_range,"final(s)@ == string_replace_range_result(&range, encode_utf8(old(s)@), replace_with@)",source_justified,exact_string_replace_range_source_gate,"alloc/src/string.rs:2080 snapshots `range` once with `slice::range`, checks the resulting byte endpoints as UTF-8 character boundaries, and splices `replace_with.bytes()` into that checked byte range; the ensures clause models exactly the decoded byte sequence after that source-backed splice.",alloc/src/string.rs:2080,"2064:     /// Panics if the range has `start_bound > end_bound`, or, if the range is
2065:     /// bounded on either end and does not lie on a [`char`] boundary.
2080:     pub fn replace_range<R>(&mut self, range: R, replace_with: &str)
2082:         R: RangeBounds<usize>,
2084:         // We avoid #81138 (nondeterministic RangeBounds impls) because we only use `range` once, here.
2085:         let checked_range = slice::range(range, ..self.len());
2088:             self.is_char_boundary(checked_range.start),
2092:             self.is_char_boundary(checked_range.end),
2096:         unsafe { self.as_mut_vec() }.splice(checked_range, replace_with.bytes());"
alloc::string::String::split_off,"forall |i: int| #![auto]
            0 <= i <= old(s)@.len()
                && vstd::utf8::encode_utf8(old(s)@.take(i)).len() == at as nat
            ==> final(s)@ == old(s)@.take(i)
                && result@ == old(s)@.skip(i); final(s).spec_capacity() == old(s).spec_capacity()",source_justified,string_declaration_source_context,"alloc/src/string.rs:1917 is the classified Rust declaration/source_context for `String::split_off`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1917,"1913:     #[inline]
1914:     #[track_caller]
1915:     #[stable(feature = ""string_split_off"", since = ""1.16.0"")]
1916:     #[must_use = ""use `.truncate()` if you don't need the other half""]
1917:     pub fn split_off(&mut self, at: usize) -> String {
1918:         assert!(self.is_char_boundary(at));
1919:         let other = self.vec.split_off(at);
1920:         unsafe { String::from_utf8_unchecked(other) }
1921:     }
1922: 
1923:     /// Truncates this `String`, removing all contents.
1924:     ///
1925:     /// While this means the `String` will have a length of zero, it does not"
alloc::string::String::truncate,"final(s)@ == if (new_len as nat) < encode_utf8(old(s)@).len() {
            old(s)@.take(choose |i: int| 0 <= i <= old(s)@.len()
                && encode_utf8(old(s)@.take(i)).len() == new_len as nat)
        } else {
            old(s)@
        }",source_justified,string_declaration_source_context,"alloc/src/string.rs:1478 is the classified Rust declaration/source_context for `String::truncate`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1478,"1474:     /// ```
1475:     #[inline]
1476:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1477:     #[track_caller]
1478:     pub fn truncate(&mut self, new_len: usize) {
1479:         if new_len <= self.len() {
1480:             assert!(self.is_char_boundary(new_len));
1481:             self.vec.truncate(new_len)
1482:         }
1483:     }
1484: 
1485:     /// Removes the last character from the string buffer and returns it.
1486:     ///"
alloc::vec::Vec::dedup,"final(vec)@ == Seq::new(old(vec)@.len(), |i: int| i)
            .filter(|i: int| i == 0 || !old(vec)@[i].eq_spec(&old(vec)@[i - 1]))
            .map(|_j: int, i: int| old(vec)@[i])",source_justified,vec_declaration_source_context,alloc/src/vec/mod.rs:3704 is the classified Rust declaration/source_context for `Vec::dedup`; the accepted ensures clauses model the documented observable vector/slice view transformation of that source.,alloc/src/vec/mod.rs:3704,"3700:     /// assert_eq!(vec, [1, 2, 3, 2]);
3701:     /// ```
3702:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
3703:     #[inline]
3704:     pub fn dedup(&mut self) {
3705:         self.dedup_by(|a, b| a == b)
3706:     }
3707: }
3708: 
3709: ////////////////////////////////////////////////////////////////////////////////
3710: // Internal methods and functions
3711: ////////////////////////////////////////////////////////////////////////////////
3712: "
alloc::vec::Vec::into_boxed_slice,slice@ == vec@,source_justified,vec_declaration_source_context,alloc/src/vec/mod.rs:1731 is the classified Rust declaration/source_context for `Vec::into_boxed_slice`; the accepted ensures clauses model the documented observable vector/slice view transformation of that source.,alloc/src/vec/mod.rs:1731,"1727:     /// assert_eq!(slice.into_vec().capacity(), 3);
1728:     /// ```
1729:     #[cfg(not(no_global_oom_handling))]
1730:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1731:     pub fn into_boxed_slice(mut self) -> Box<[T], A> {
1732:         unsafe {
1733:             self.shrink_to_fit();
1734:             let me = ManuallyDrop::new(self);
1735:             let buf = ptr::read(&me.buf);
1736:             let len = me.len();
1737:             buf.into_box(len).assume_init()
1738:         }
1739:     }"
alloc::vec::Vec::into_flattened,"result@ == Seq::new(vec@.len() * (N as nat), |k: int|
            (vec@[k / (N as int)])@[k % (N as int)])",source_justified,vec_declaration_source_context,alloc/src/vec/mod.rs:3633 is the classified Rust declaration/source_context for `Vec::into_flattened`; the accepted ensures clauses model the documented observable vector/slice view transformation of that source.,alloc/src/vec/mod.rs:3633,"3629:     /// let mut flattened = vec.into_flattened();
3630:     /// assert_eq!(flattened.pop(), Some(6));
3631:     /// ```
3632:     #[stable(feature = ""slice_flatten"", since = ""1.80.0"")]
3633:     pub fn into_flattened(self) -> Vec<T, A> {
3634:         let (ptr, len, cap, alloc) = self.into_raw_parts_with_alloc();
3635:         let (new_len, new_cap) = if T::IS_ZST {
3636:             (len.checked_mul(N).expect(""vec len overflow""), usize::MAX)
3637:         } else {
3638:             // SAFETY:
3639:             // - `cap * N` cannot overflow because the allocation is already in
3640:             // the address space.
3641:             // - Each `[T; N]` has `N` valid elements, so there are `len * N`"
core::array::as_mut_slice,out@ == old(ar)@; final(out)@ == out@; final(out)@ == final(ar)@,source_justified,exact_direct_mut_view_adapter_source_gate,core/src/array/mod.rs:658 constructs the returned mutable view directly from the input array/slice/value without copying; the ensures clauses model that source-backed view and final-state relationship.,core/src/array/mod.rs:658,"654:     /// Returns a mutable slice containing the entire array. Equivalent to
655:     /// `&mut s[..]`.
656:     #[stable(feature = ""array_as_slice"", since = ""1.57.0"")]
657:     #[rustc_const_stable(feature = ""const_array_as_mut_slice"", since = ""1.89.0"")]
658:     pub const fn as_mut_slice(&mut self) -> &mut [T] {
659:         self
660:     }
661: 
662:     /// Borrows each element and returns an array of references with the same
663:     /// size as `self`.
664:     ///
665:     ///
666:     /// # Example"
core::array::each_mut,forall|i: int| #![auto] 0 <= i < N ==> *out[i] == old(ar)@[i]; forall|i: int| #![auto] 0 <= i < N ==> *final(out[i]) == *out[i]; forall|i: int| #![auto] 0 <= i < N ==> *final(out[i]) == final(ar)@[i],source_justified,exact_array_each_mut_source_gate,"core/src/array/mod.rs:719 constructs one mutable reference for each array element and transmutes that initialized pointer array into the returned reference array; the ensures clauses model only per-index dereferenced values and the final array relation, without pointer or provenance claims.",core/src/array/mod.rs:719,"700:         unsafe { transmute_unchecked(buf) }
703:     /// Borrows each element mutably and returns an array of mutable references
719:     pub const fn each_mut(&mut self) -> [&mut T; N] {
725:             buf[i] = &raw mut self[i];
730:         // SAFETY: `*mut T` has the same layout as `&mut T`, and we've also initialised each pointer as a valid reference.
731:         unsafe { transmute_unchecked(buf) }"
core::array::each_ref,forall|i: int| 0 <= i < N ==> *(out@[i]) == ar@[i],source_justified,array_declaration_source_context,core/src/array/mod.rs:688 is the classified Rust declaration/source_context for `array::each_ref`; the accepted ensures clauses model the documented array/slice/reference view constructed by that source.,core/src/array/mod.rs:688,"684:     /// assert_eq!(strings.len(), 3);
685:     /// ```
686:     #[stable(feature = ""array_methods"", since = ""1.77.0"")]
687:     #[rustc_const_stable(feature = ""const_array_each_ref"", since = ""1.91.0"")]
688:     pub const fn each_ref(&self) -> [&T; N] {
689:         let mut buf = [null::<T>(); N];
690: 
691:         // FIXME(const_trait_impl): We would like to simply use iterators for this (as in the original implementation), but this is not allowed in constant expressions.
692:         let mut i = 0;
693:         while i < N {
694:             buf[i] = &raw const self[i];
695: 
696:             i += 1;"
core::array::from_mut,out@[0] == *old(s); final(out)@ == out@; *final(s) == final(out)@[0],source_justified,exact_direct_mut_view_adapter_source_gate,core/src/array/mod.rs:175 constructs the returned mutable view directly from the input array/slice/value without copying; the ensures clauses model that source-backed view and final-state relationship.,core/src/array/mod.rs:175,"171: 
172: /// Converts a mutable reference to `T` into a mutable reference to an array of length 1 (without copying).
173: #[stable(feature = ""array_from_ref"", since = ""1.53.0"")]
174: #[rustc_const_stable(feature = ""const_array_from_ref"", since = ""1.83.0"")]
175: pub const fn from_mut<T>(s: &mut T) -> &mut [T; 1] {
176:     // SAFETY: Converting `&mut T` to `&mut [T; 1]` is sound.
177:     unsafe { &mut *(s as *mut T).cast::<[T; 1]>() }
178: }
179: 
180: /// The error type returned when a conversion from a slice to an array fails.
181: #[stable(feature = ""try_from"", since = ""1.34.0"")]
182: #[derive(Debug, Copy, Clone)]
183: pub struct TryFromSliceError(());"
core::array::from_ref,out@ == seq![*s],source_justified,array_declaration_source_context,core/src/array/mod.rs:167 is the classified Rust declaration/source_context for `array::from_ref`; the accepted ensures clauses model the documented array/slice/reference view constructed by that source.,core/src/array/mod.rs:167,"163: 
164: /// Converts a reference to `T` into a reference to an array of length 1 (without copying).
165: #[stable(feature = ""array_from_ref"", since = ""1.53.0"")]
166: #[rustc_const_stable(feature = ""const_array_from_ref_shared"", since = ""1.63.0"")]
167: pub const fn from_ref<T>(s: &T) -> &[T; 1] {
168:     // SAFETY: Converting `&T` to `&[T; 1]` is sound.
169:     unsafe { &*(s as *const T).cast::<[T; 1]>() }
170: }
171: 
172: /// Converts a mutable reference to `T` into a mutable reference to an array of length 1 (without copying).
173: #[stable(feature = ""array_from_ref"", since = ""1.53.0"")]
174: #[rustc_const_stable(feature = ""const_array_from_ref"", since = ""1.83.0"")]
175: pub const fn from_mut<T>(s: &mut T) -> &mut [T; 1] {"
core::cmp::max,"match v1.cmp_spec(&v2) {
            core::cmp::Ordering::Greater => r == v1,
            core::cmp::Ordering::Less | core::cmp::Ordering::Equal => r == v2,
        }",source_justified,cmp_min_max_source_context,"core/src/cmp.rs:1681 documents the maximum operation, the equal tie rule returning the second argument, and delegates to `v1.max(v2)`; the ensures clauses model that exact source-backed comparison result.",core/src/cmp.rs:1681,"1644: /// Compares and returns the maximum of two values.
1646: /// Returns the second argument if the comparison determines them to be equal.
1648: /// Internally uses an alias to [`Ord::max`].
1681: pub const fn max<T: [const] Ord + [const] Destruct>(v1: T, v2: T) -> T {
1682:     v1.max(v2)
1687: /// Returns the second argument if the comparison determines them to be equal.
1722: /// Returns the second argument if the comparison determines them to be equal."
core::cmp::min,"match v1.cmp_spec(&v2) {
            core::cmp::Ordering::Less => r == v1,
            core::cmp::Ordering::Equal => r == v1,
            core::cmp::Ordering::Greater => r == v2,
        }",source_justified,cmp_min_max_source_context,"core/src/cmp.rs:1574 documents the minimum operation, the equal tie rule returning the first argument, and delegates to `v1.min(v2)`; the ensures clauses model that exact source-backed comparison result.",core/src/cmp.rs:1574,"1537: /// Compares and returns the minimum of two values.
1539: /// Returns the first argument if the comparison determines them to be equal.
1541: /// Internally uses an alias to [`Ord::min`].
1574: pub const fn min<T: [const] Ord + [const] Destruct>(v1: T, v2: T) -> T {
1575:     v1.min(v2)
1580: /// Returns the first argument if the comparison determines them to be equal.
1615: /// Returns the first argument if the comparison determines them to be equal."
core::convert::identity,ret == x,source_justified,identity_like_declaration_source_context,core/src/convert/mod.rs:106 is the classified Rust declaration/source_context for an identity-like executable API; the accepted ensures clause models the source-backed returned input value.,core/src/convert/mod.rs:106,"102: #[stable(feature = ""convert_id"", since = ""1.33.0"")]
103: #[rustc_const_stable(feature = ""const_identity"", since = ""1.33.0"")]
104: #[inline(always)]
105: #[rustc_diagnostic_item = ""convert_identity""]
106: pub const fn identity<T>(x: T) -> T {
107:     x
108: }
109: 
110: /// Used to do a cheap reference-to-reference conversion.
111: ///
112: /// This trait is similar to [`AsMut`] which is used for converting between mutable references.
113: /// If you need to do a costly conversion it is better to implement [`From`] with type
114: /// `&T` or write a custom function."
core::hint::black_box,output == dummy,source_justified,identity_like_declaration_source_context,core/src/hint.rs:490 is the classified Rust declaration/source_context for an identity-like executable API; the accepted ensures clause models the source-backed returned input value.,core/src/hint.rs:490,"486: /// During constant evaluation, `black_box` is treated as a no-op.
487: #[inline]
488: #[stable(feature = ""bench_black_box"", since = ""1.66.0"")]
489: #[rustc_const_stable(feature = ""const_black_box"", since = ""1.86.0"")]
490: pub const fn black_box<T>(dummy: T) -> T {
491:     crate::intrinsics::black_box(dummy)
492: }
493: 
494: /// An identity function that causes an `unused_must_use` warning to be
495: /// triggered if the given value is not used (returned, stored in a variable,
496: /// etc) by the caller.
497: ///
498: /// This is primarily intended for use in macro-generated code, in which a"
core::hint::select_unpredictable,condition ==> result == true_val; !condition ==> result == false_val,source_justified,select_unpredictable_declaration_source_context,core/src/hint.rs:832 is the classified Rust declaration/source_context for `select_unpredictable`; the accepted ensures clause models the documented selected input value without relying on branch prediction.,core/src/hint.rs:832,"828: /// ```
829: #[inline(always)]
830: #[stable(feature = ""select_unpredictable"", since = ""1.88.0"")]
831: #[rustc_const_unstable(feature = ""const_select_unpredictable"", issue = ""145938"")]
832: pub const fn select_unpredictable<T>(condition: bool, true_val: T, false_val: T) -> T
833: where
834:     T: [const] Destruct,
835: {
836:     // FIXME(https://github.com/rust-lang/unsafe-code-guidelines/issues/245):
837:     // Change this to use ManuallyDrop instead.
838:     let mut true_val = MaybeUninit::new(true_val);
839:     let mut false_val = MaybeUninit::new(false_val);
840: "
core::mem::min_align_of,res == core::mem::align_of::<T>(),source_justified,mem_align_declaration_source_context,core/src/mem/mod.rs:489 is the classified Rust declaration/source_context for the minimum-alignment query; the accepted ensures clause models the source-backed alignment value exposed by that API.,core/src/mem/mod.rs:489,"485: #[inline]
486: #[must_use]
487: #[stable(feature = ""rust1"", since = ""1.0.0"")]
488: #[deprecated(note = ""use `align_of` instead"", since = ""1.2.0"", suggestion = ""align_of"")]
489: pub fn min_align_of<T>() -> usize {
490:     <T as SizedTypeProperties>::ALIGN
491: }
492: 
493: /// Returns the [ABI]-required minimum alignment of the type of the value that `val` points to in
494: /// bytes.
495: ///
496: /// Every reference to a value of the type `T` must be a multiple of this number.
497: ///"
core::mem::min_align_of_val,res == core::mem::align_of_val(val),source_justified,mem_align_declaration_source_context,core/src/mem/mod.rs:512 is the classified Rust declaration/source_context for the minimum-alignment query; the accepted ensures clause models the source-backed alignment value exposed by that API.,core/src/mem/mod.rs:512,"508: #[inline]
509: #[must_use]
510: #[stable(feature = ""rust1"", since = ""1.0.0"")]
511: #[deprecated(note = ""use `align_of_val` instead"", since = ""1.2.0"", suggestion = ""align_of_val"")]
512: pub fn min_align_of_val<T: ?Sized>(val: &T) -> usize {
513:     // SAFETY: val is a reference, so it's a valid raw pointer
514:     unsafe { intrinsics::align_of_val(val) }
515: }
516: 
517: /// Returns the [ABI]-required minimum alignment of a type, in bytes.
518: ///
519: /// Every reference to a value of the type `T` must be a multiple of this number.
520: ///"
core::mem::replace,res == *old(dest); *final(dest) == src,source_justified,mem_replace_declaration_source_context,core/src/mem/mod.rs:954 is the classified Rust declaration/source_context for `mem::replace`; the accepted ensures clauses model the documented old-value return and new destination post-state.,core/src/mem/mod.rs:954,"950: #[stable(feature = ""rust1"", since = ""1.0.0"")]
951: #[must_use = ""if you don't need the old value, you can just assign the new value directly""]
952: #[rustc_const_stable(feature = ""const_replace"", since = ""1.83.0"")]
953: #[rustc_diagnostic_item = ""mem_replace""]
954: pub const fn replace<T>(dest: &mut T, src: T) -> T {
955:     // It may be tempting to use `swap` to avoid `unsafe` here. Don't!
956:     // The compiler optimizes the implementation below to two `memcpy`s
957:     // while `swap` would require at least three. See PR#83022 for details.
958: 
959:     // SAFETY: We read from `dest` but directly write `src` into it afterwards,
960:     // such that the old value is not duplicated. Nothing is dropped and
961:     // nothing here can panic.
962:     unsafe {"
core::ops::Range::is_empty,ret == !r.start.is_lt(&r.end),source_justified,range_declaration_source_context,core/src/ops/range.rs:151 is the classified Rust declaration/source_context for `Range::is_empty`; the accepted ensures clause models the documented empty-range comparison over the observable bounds.,core/src/ops/range.rs:151,"147:     /// ```
148:     #[inline]
149:     #[stable(feature = ""range_is_empty"", since = ""1.47.0"")]
150:     #[rustc_const_unstable(feature = ""const_range"", issue = ""none"")]
151:     pub const fn is_empty(&self) -> bool
152:     where
153:         Idx: [const] PartialOrd<Idx>,
154:     {
155:         !(self.start < self.end)
156:     }
157: }
158: 
159: /// A range only bounded inclusively below (`start..`)."
core::ops::RangeInclusive::into_inner,ret.0 == r@.start; ret.1 == r@.end,source_justified,range_inclusive_declaration_source_context,core/src/ops/range.rs:457 is the classified Rust declaration/source_context for `RangeInclusive::into_inner`; the accepted ensures clauses model the documented start/end pair or emptiness predicate for the non-exhausted observable range state.,core/src/ops/range.rs:457,"453:     /// ```
454:     #[stable(feature = ""inclusive_range_methods"", since = ""1.27.0"")]
455:     #[inline]
456:     #[rustc_const_unstable(feature = ""const_range_bounds"", issue = ""108082"")]
457:     pub const fn into_inner(self) -> (Idx, Idx) {
458:         (self.start, self.end)
459:     }
460: }
461: 
462: impl RangeInclusive<usize> {
463:     /// Converts to an exclusive `Range` for `SliceIndex` implementations.
464:     /// The caller is responsible for dealing with `end == usize::MAX`.
465:     #[inline]"
core::ops::RangeInclusive::is_empty,ret == (r@.exhausted || !r@.start.is_le(&r@.end)),source_justified,range_inclusive_declaration_source_context,core/src/ops/range.rs:559 is the classified Rust declaration/source_context for `RangeInclusive::is_empty`; the accepted ensures clauses model the documented start/end pair or emptiness predicate for the non-exhausted observable range state.,core/src/ops/range.rs:559,"555:     /// ```
556:     #[stable(feature = ""range_is_empty"", since = ""1.47.0"")]
557:     #[inline]
558:     #[rustc_const_unstable(feature = ""const_range"", issue = ""none"")]
559:     pub const fn is_empty(&self) -> bool
560:     where
561:         Idx: [const] PartialOrd,
562:     {
563:         self.exhausted || !(self.start <= self.end)
564:     }
565: }
566: 
567: /// A range only bounded inclusively above (`..=end`)."
core::option::Option::and,option.is_none() ==> res.is_none(); option.is_some() ==> res == optb,source_justified,option_declaration_source_context,core/src/option.rs:1493 is the classified Rust declaration/source_context for `Option::and` and exposes the match/constructor branches; the accepted ensures clauses model only that public Some/None branch result.,core/src/option.rs:1493,"1489:     /// ```
1490:     #[inline]
1491:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1492:     #[rustc_const_unstable(feature = ""const_option_ops"", issue = ""143956"")]
1493:     pub const fn and<U>(self, optb: Option<U>) -> Option<U>
1494:     where
1495:         T: [const] Destruct,
1496:         U: [const] Destruct,
1497:     {
1498:         match self {
1499:             Some(_) => optb,
1500:             None => None,
1501:         }"
core::option::Option::flatten,"res == match option {
            Some(inner) => inner,
            None => None,
        }",source_justified,option_declaration_source_context,core/src/option.rs:2937 is the classified Rust declaration/source_context for `Option::flatten` and exposes the match/constructor branches; the accepted ensures clauses model only that public Some/None branch result.,core/src/option.rs:2937,"2933:     #[inline]
2934:     #[stable(feature = ""option_flattening"", since = ""1.40.0"")]
2935:     #[rustc_allow_const_fn_unstable(const_precise_live_drops)]
2936:     #[rustc_const_stable(feature = ""const_option"", since = ""1.83.0"")]
2937:     pub const fn flatten(self) -> Option<T> {
2938:         // FIXME(const-hack): could be written with `and_then`
2939:         match self {
2940:             Some(inner) => inner,
2941:             None => None,
2942:         }
2943:     }
2944: }
2945: "
core::option::Option::or,option.is_some() ==> res == option; option.is_none() ==> res == optb,source_justified,option_declaration_source_context,core/src/option.rs:1617 is the classified Rust declaration/source_context for `Option::or` and exposes the match/constructor branches; the accepted ensures clauses model only that public Some/None branch result.,core/src/option.rs:1617,"1613:     /// ```
1614:     #[inline]
1615:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1616:     #[rustc_const_unstable(feature = ""const_option_ops"", issue = ""143956"")]
1617:     pub const fn or(self, optb: Option<T>) -> Option<T>
1618:     where
1619:         T: [const] Destruct,
1620:     {
1621:         match self {
1622:             x @ Some(_) => x,
1623:             None => optb,
1624:         }
1625:     }"
core::option::Option::replace,res == *old(option); *final(option) == core::option::Option::Some(value),source_justified,option_declaration_source_context,core/src/option.rs:1958 is the classified Rust declaration/source_context for `Option::replace` and exposes the match/constructor branches; the accepted ensures clauses model only that public Some/None branch result.,core/src/option.rs:1958,"1954:     /// ```
1955:     #[inline]
1956:     #[stable(feature = ""option_replace"", since = ""1.31.0"")]
1957:     #[rustc_const_stable(feature = ""const_option"", since = ""1.83.0"")]
1958:     pub const fn replace(&mut self, value: T) -> Option<T> {
1959:         mem::replace(self, Some(value))
1960:     }
1961: 
1962:     /// Makes a tuple of the value in `self` and the value in another `Option`.
1963:     ///
1964:     /// If `self` is `Some(s)` and `other` is `Some(o)`, this method returns `Some((s, o))`.
1965:     /// Otherwise, `None` is returned.
1966:     ///"
core::option::Option::transpose,"res == match option { Some(Ok(x)) => Ok(Some(x)), Some(Err(e)) => Err(e), None => Ok(None) }",source_justified,option_declaration_source_context,core/src/option.rs:2237 is the classified Rust declaration/source_context for `Option::transpose` and exposes the match/constructor branches; the accepted ensures clauses model only that public Some/None branch result.,core/src/option.rs:2237,"2233:     #[inline]
2234:     #[stable(feature = ""transpose_result"", since = ""1.33.0"")]
2235:     #[rustc_allow_const_fn_unstable(const_precise_live_drops)]
2236:     #[rustc_const_stable(feature = ""const_option"", since = ""1.83.0"")]
2237:     pub const fn transpose(self) -> Result<Option<T>, E> {
2238:         match self {
2239:             Some(Ok(x)) => Ok(Some(x)),
2240:             Some(Err(e)) => Err(e),
2241:             None => Ok(None),
2242:         }
2243:     }
2244: }
2245: "
core::option::Option::unzip,"option is Some ==> res.0 is Some && res.1 is Some && option->0 == (res.0->0, res.1->0); option is None ==> res.0 is None && res.1 is None",source_justified,option_declaration_source_context,core/src/option.rs:2110 is the classified Rust declaration/source_context for `Option::unzip` and exposes the match/constructor branches; the accepted ensures clauses model only that public Some/None branch result.,core/src/option.rs:2110,"2106:     /// assert_eq!(y.unzip(), (None, None));
2107:     /// ```
2108:     #[inline]
2109:     #[stable(feature = ""unzip_option"", since = ""1.66.0"")]
2110:     pub fn unzip(self) -> (Option<T>, Option<U>) {
2111:         match self {
2112:             Some((a, b)) => (Some(a), Some(b)),
2113:             None => (None, None),
2114:         }
2115:     }
2116: }
2117: 
2118: impl<T> Option<&T> {"
core::option::Option::xor,"res == match (option, optb) { (Some(a), None) => Some(a), (None, Some(b)) => Some(b), _ => None }",source_justified,option_declaration_source_context,core/src/option.rs:1680 is the classified Rust declaration/source_context for `Option::xor` and exposes the match/constructor branches; the accepted ensures clauses model only that public Some/None branch result.,core/src/option.rs:1680,"1676:     /// ```
1677:     #[inline]
1678:     #[stable(feature = ""option_xor"", since = ""1.37.0"")]
1679:     #[rustc_const_unstable(feature = ""const_option_ops"", issue = ""143956"")]
1680:     pub const fn xor(self, optb: Option<T>) -> Option<T>
1681:     where
1682:         T: [const] Destruct,
1683:     {
1684:         match (self, optb) {
1685:             (a @ Some(_), None) => a,
1686:             (None, b @ Some(_)) => b,
1687:             _ => None,
1688:         }"
core::option::Option::zip,"res == match (option, other) {
            (core::option::Option::Some(a), core::option::Option::Some(b)) => core::option::Option::Some((a, b)),
            _ => core::option::Option::None,
        }",source_justified,option_declaration_source_context,core/src/option.rs:1979 is the classified Rust declaration/source_context for `Option::zip` and exposes the match/constructor branches; the accepted ensures clauses model only that public Some/None branch result.,core/src/option.rs:1979,"1975:     /// assert_eq!(x.zip(z), None);
1976:     /// ```
1977:     #[stable(feature = ""option_zip_option"", since = ""1.46.0"")]
1978:     #[rustc_const_unstable(feature = ""const_option_ops"", issue = ""143956"")]
1979:     pub const fn zip<U>(self, other: Option<U>) -> Option<(T, U)>
1980:     where
1981:         T: [const] Destruct,
1982:         U: [const] Destruct,
1983:     {
1984:         match (self, other) {
1985:             (Some(a), Some(b)) => Some((a, b)),
1986:             _ => None,
1987:         }"
core::result::Result::and,result is Ok ==> and_result == res; result is Err ==> and_result is Err && and_result->Err_0 == result->Err_0,source_justified,result_declaration_source_context,core/src/result.rs:1440 is the classified Rust declaration/source_context for `Result::and` and exposes the match/constructor branches; the accepted ensures clauses model only that public Ok/Err branch result or documented non-panicking branch.,core/src/result.rs:1440,"1436:     /// ```
1437:     #[inline]
1438:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1439:     #[rustc_const_unstable(feature = ""const_result_trait_fn"", issue = ""144211"")]
1440:     pub const fn and<U>(self, res: Result<U, E>) -> Result<U, E>
1441:     where
1442:         T: [const] Destruct,
1443:         E: [const] Destruct,
1444:         U: [const] Destruct,
1445:     {
1446:         match self {
1447:             Ok(_) => res,
1448:             Err(e) => Err(e),"
core::result::Result::expect_err,e == result->Err_0,source_justified,result_declaration_source_context,core/src/result.rs:1291 is the classified Rust declaration/source_context for `Result::expect_err` and exposes the match/constructor branches; the accepted ensures clauses model only that public Ok/Err branch result or documented non-panicking branch.,core/src/result.rs:1291,"1287:     /// ```
1288:     #[inline]
1289:     #[track_caller]
1290:     #[stable(feature = ""result_expect_err"", since = ""1.17.0"")]
1291:     pub fn expect_err(self, msg: &str) -> E
1292:     where
1293:         T: fmt::Debug,
1294:     {
1295:         match self {
1296:             Ok(t) => unwrap_failed(msg, &t),
1297:             Err(e) => e,
1298:         }
1299:     }"
core::result::Result::flatten,"flattened == match result {
            core::result::Result::Ok(inner) => inner,
            core::result::Result::Err(e) => core::result::Result::Err(e),
        }",source_justified,result_declaration_source_context,core/src/result.rs:1855 is the classified Rust declaration/source_context for `Result::flatten` and exposes the match/constructor branches; the accepted ensures clauses model only that public Ok/Err branch result or documented non-panicking branch.,core/src/result.rs:1855,"1851:     #[inline]
1852:     #[stable(feature = ""result_flattening"", since = ""1.89.0"")]
1853:     #[rustc_allow_const_fn_unstable(const_precise_live_drops)]
1854:     #[rustc_const_stable(feature = ""result_flattening"", since = ""1.89.0"")]
1855:     pub const fn flatten(self) -> Result<T, E> {
1856:         // FIXME(const-hack): could be written with `and_then`
1857:         match self {
1858:             Ok(inner) => inner,
1859:             Err(e) => Err(e),
1860:         }
1861:     }
1862: }
1863: "
